Numero de iteracoes: 13
Erro: 2.58801e-07
Tempo de Resolucao do Problema: 5860.16 segundos
/////////////////////////////////////////////
Posicao	Fluxo Escalar
	Grupo de Energia 1	Grupo de Energia 2	Grupo de Energia 3	Grupo de Energia 4	Grupo de Energia 5	Grupo de Energia 6	Grupo de Energia 7	Grupo de Energia 8	Grupo de Energia 9	Grupo de Energia 10	Grupo de Energia 11	Grupo de Energia 12	Grupo de Energia 13	Grupo de Energia 14	Grupo de Energia 15	Grupo de Energia 16	Grupo de Energia 17	Grupo de Energia 18	Grupo de Energia 19	Grupo de Energia 20
5.75	3.8053	0.0551725	0.0287267	0.0180445	0.0171121	0.00945538	0.00730628	0.00584355	0.00479622	0.00470741	0.00344771	0.00297077	0.00259175	0.00228423	0.00203073	0.00181901	0.00164014	0.00148753	0.00135617	0.00124223	
6	3.81232	0.0552894	0.0287585	0.0180558	0.0171228	0.00945867	0.00730896	0.00584607	0.00479873	0.00470869	0.00345006	0.00297307	0.00259393	0.00228627	0.00203261	0.00182071	0.00164166	0.00148887	0.00135733	0.00124322	
6.25	3.80023	0.055233	0.028684	0.017993	0.0170684	0.00941801	0.00727599	0.00581904	0.00477632	0.00468586	0.00343409	0.00295956	0.00258244	0.00227645	0.00202419	0.00181348	0.00163543	0.00148351	0.00135272	0.00123925	
6.5	3.7686	0.0550002	0.0285007	0.0178535	0.0169468	0.00933157	0.00720598	0.00576127	0.00472787	0.00463793	0.00339827	0.00292838	0.002555	0.00225205	0.00200231	0.0017937	0.00161743	0.00146701	0.00133751	0.00122516	
6.75	3.71622	0.0545877	0.0282096	0.0176421	0.0167603	0.00920603	0.00710533	0.00567883	0.0046592	0.00457007	0.0033484	0.00288547	0.00251775	0.00221949	0.00197367	0.00176838	0.00159493	0.00144694	0.00131955	0.00120903	
7	3.64078	0.0539876	0.0277966	0.0173401	0.016496	0.00902136	0.00695524	0.00555419	0.00455387	0.00446727	0.00326946	0.00281629	0.0024565	0.00216479	0.00192446	0.0017238	0.00155431	0.00140973	0.00128529	0.00117735	
7.25	3.53847	0.0531981	0.0272771	0.0169708	0.0161694	0.00880304	0.00677968	0.00540975	0.0044329	0.00434866	0.00318059	0.00273928	0.00238916	0.00210547	0.00187186	0.00167691	0.00151232	0.00137195	0.00125118	0.00114644	
7.5	3.40297	0.0521815	0.026596	0.0164764	0.0157363	0.00849923	0.00653129	0.00520197	0.00425594	0.00417708	0.00304595	0.00262041	0.00228319	0.00201025	0.0017857	0.00159847	0.00144052	0.00130591	0.00119017	0.00108986	
7.75	3.22226	0.0509663	0.0258134	0.0159202	0.0152459	0.00816609	0.00626135	0.00497809	0.00406688	0.00399296	0.00290477	0.00249698	0.0021743	0.00191347	0.00169913	0.00152061	0.00137014	0.00124203	0.00113195	0.00103662	
8	2.88613	0.0492003	0.0246449	0.0150674	0.0144988	0.00762614	0.00581297	0.00459687	0.00373684	0.00367597	0.00264543	0.00226451	0.00196401	0.00172179	0.00152331	0.00135842	0.00121979	0.00110205	0.00100113	0.000913921	
8.25	2.3857	0.0458923	0.0224836	0.0135028	0.0131297	0.0066486	0.00500626	0.00391542	0.00315078	0.00311441	0.00219133	0.00186041	0.00160114	0.00139352	0.00122443	0.0010848	0.000968069	0.000869467	0.000785388	0.0007131	
8.5	2.15652	0.0437009	0.0211145	0.0125568	0.012282	0.00611034	0.00458063	0.00357045	0.0028658	0.00283402	0.00198693	0.00168516	0.00144941	0.00126109	0.00110806	0.000981918	0.000876642	0.000787839	0.000712206	0.000647248	
8.75	1.95834	0.0417059	0.0198565	0.0116852	0.0114985	0.00561119	0.00418473	0.00324832	0.00259836	0.002572	0.00179247	0.00151717	0.00130271	0.00113183	0.00099325	0.000879234	0.000784235	0.000704214	0.000636145	0.000577746	
9	1.80919	0.0400491	0.018851	0.0110117	0.0108822	0.00524829	0.00390442	0.00302575	0.00241775	0.00239282	0.00166641	0.00141032	0.00121106	0.00105243	0.000923883	0.000818169	0.000730113	0.000655953	0.000592874	0.000538752	
9.25	1.68669	0.0385587	0.0179325	0.0103916	0.0103148	0.00490986	0.00364181	0.00281624	0.00224687	0.00222401	0.00154573	0.00130741	0.00112221	0.000974927	0.000855661	0.000757634	0.000676018	0.000607301	0.000548864	0.000498733	
9.5	1.58605	0.0372633	0.017159	0.00988548	0.00984335	0.00464778	0.00344267	0.00266014	0.00212144	0.00209915	0.00145912	0.0012342	0.00105948	0.00092056	0.000808074	0.000715619	0.000638636	0.000573813	0.00051868	0.000471374	
9.75	1.50223	0.0361076	0.0164609	0.0094244	0.00941446	0.00440554	0.00325787	0.00251489	0.00200451	0.00198299	0.00137822	0.00116583	0.00100092	0.000869822	0.000763685	0.00067645	0.000603809	0.000542637	0.000490602	0.000445948	
10	1.43226	0.0350912	0.0158592	0.00903709	0.00904822	0.00421057	0.00311134	0.00240089	0.00191329	0.00189214	0.00131526	0.0011125	0.00095507	0.000829907	0.000728565	0.000645264	0.000575893	0.00051747	0.000467771	0.000425119	
10.25	1.37393	0.0341926	0.0153238	0.00869038	0.00872026	0.00403466	0.00297937	0.00229871	0.00183215	0.00181098	0.00126039	0.00106663	0.000916165	0.000796517	0.000699614	0.000619936	0.00055356	0.00049764	0.000450054	0.000409204	
10.5	1.32562	0.0334028	0.0148564	0.00839228	0.00843468	0.00388695	0.002869	0.00221306	0.0017636	0.00174275	0.00121273	0.00102606	0.000881071	0.000765764	0.000672368	0.000595569	0.000531592	0.000477693	0.00043183	0.000392461	
10.75	1.28609	0.0327132	0.0144472	0.00813142	0.00818362	0.00375904	0.00277489	0.00214158	0.00170793	0.0016864	0.00117647	0.000996339	0.000856361	0.000744973	0.000654697	0.000580418	0.0005185	0.000466307	0.000421868	0.000383701	
11	1.25441	0.0321074	0.0140832	0.00789855	0.00795831	0.00364287	0.00268779	0.00207364	0.00165319	0.00163199	0.00113781	0.00096318	0.000827459	0.000719454	0.000631918	0.000559897	0.000499867	0.000449268	0.000406192	0.0003692	
11.25	1.22985	0.0315885	0.0137709	0.00770031	0.0077645	0.00354803	0.00261947	0.00202301	0.00161488	0.00159232	0.00111446	0.000944822	0.000812883	0.000707803	0.000622566	0.000552373	0.000493814	0.000444412	0.000402318	0.000366138	
11.5	1.21182	0.031116	0.0134734	0.00750385	0.00757467	0.0034437	0.00253915	0.00195881	0.00156202	0.00154008	0.0010758	0.000911222	0.000783271	0.000681414	0.00059883	0.000530852	0.000474164	0.000426359	0.00038564	0.000350654	
11.75	1.19991	0.0307233	0.0132229	0.00733988	0.00741406	0.00336227	0.00248009	0.00191497	0.00152898	0.00150538	0.00105623	0.000896264	0.000771865	0.000672797	0.000592433	0.000526245	0.000471014	0.000424406	0.000384678	0.000350517	
12	1.19357	0.0302384	0.0128851	0.00709372	0.00718503	0.00320511	0.00234969	0.00180368	0.00143204	0.00141212	0.000978733	0.000826377	0.000708273	0.000614518	0.000538709	0.000476469	0.000424693	0.000381133	0.000344111	0.000312368	
12.25	1.19495	0.0297539	0.0125248	0.00682885	0.00693369	0.00304077	0.00221702	0.00169361	0.00133882	0.00132017	0.000907796	0.000763917	0.000652674	0.000564589	0.000493542	0.000435353	0.000387059	0.00034652	0.000312142	0.000282727	
12.5	1.20992	0.0297859	0.0124939	0.00679824	0.0068987	0.00302113	0.00220213	0.00168216	0.00132995	0.00131047	0.00090237	0.000759828	0.000649658	0.000562449	0.000492125	0.000434534	0.000386738	0.000346612	0.00031258	0.000283453	
12.75	1.23793	0.0300501	0.0125893	0.00684858	0.00693881	0.00304718	0.00222438	0.00170188	0.00134776	0.00132588	0.000917219	0.000773538	0.000662342	0.000574205	0.00050304	0.000444685	0.000396194	0.000355434	0.000320823	0.000291168	
13	1.27934	0.03061	0.0128507	0.00700005	0.00707919	0.00311588	0.00227428	0.0017394	0.00137674	0.00135472	0.000935685	0.000788564	0.000674723	0.000584513	0.000511695	0.000452004	0.000402421	0.000360758	0.000325392	0.000295102	
13.25	1.33466	0.031398	0.0132379	0.00723498	0.0072951	0.00323608	0.00236789	0.00181513	0.00143973	0.00141481	0.000982128	0.000829162	0.000710626	0.000616565	0.000540539	0.000478142	0.000426249	0.0003826	0.000345509	0.000313711	
13.5	1.40498	0.0324326	0.0137539	0.00754019	0.0075842	0.00337523	0.00246842	0.00189036	0.00149759	0.00147288	0.00101883	0.000858941	0.000735114	0.000636926	0.000557626	0.000492593	0.000438553	0.000393133	0.00035457	0.000321534	
13.75	1.49162	0.033705	0.0144097	0.00794386	0.00795905	0.00358014	0.00262601	0.00201619	0.00160096	0.0015726	0.00109351	0.000923638	0.000791893	0.000687289	0.000602702	0.000533253	0.000475479	0.00042687	0.000385558	0.000350134	
14	1.59693	0.0352024	0.0151761	0.00840208	0.00839319	0.00379107	0.00277898	0.00213111	0.00168972	0.00166153	0.00115036	0.000970009	0.000830246	0.000719374	0.000629803	0.000556334	0.000495274	0.00044395	0.000400371	0.000363039	
14.25	1.72293	0.0369594	0.0161084	0.00898433	0.00893139	0.00408919	0.00300819	0.00231382	0.00183943	0.0018063	0.0012579	0.0010629	0.000911548	0.000791308	0.00069404	0.000614157	0.00054769	0.000491759	0.000444218	0.000403449	
14.5	1.87521	0.0389181	0.0171332	0.00960595	0.00951511	0.00438136	0.00322218	0.00247603	0.00196575	0.00193228	0.00133993	0.00113026	0.000967603	0.000838482	0.000734117	0.000648483	0.000577298	0.000517452	0.000466633	0.000423094	
14.75	2.0549	0.0411741	0.0183639	0.0103893	0.0102301	0.00479136	0.0035397	0.00273037	0.00217482	0.0021341	0.00149053	0.00126042	0.00108154	0.000939267	0.000824077	0.000729413	0.00065061	0.000584272	0.000527869	0.00047949	
