Numero de iteracoes: 13
Erro: 2.58057e-07
Tempo de Resolucao do Problema: 1811.02 segundos
/////////////////////////////////////////////
Posicao	Fluxo Escalar
	Grupo de Energia 1	Grupo de Energia 2	Grupo de Energia 3	Grupo de Energia 4	Grupo de Energia 5	Grupo de Energia 6	Grupo de Energia 7	Grupo de Energia 8	Grupo de Energia 9	Grupo de Energia 10	Grupo de Energia 11	Grupo de Energia 12	Grupo de Energia 13	Grupo de Energia 14	Grupo de Energia 15	Grupo de Energia 16	Grupo de Energia 17	Grupo de Energia 18	Grupo de Energia 19	Grupo de Energia 20
0	1.8624	0.0347221	0.0169757	0.0101738	0.00999099	0.00501223	0.00377228	0.00295065	0.00237554	0.00235673	0.00165682	0.00140744	0.0012122	0.00105584	0.000928452	0.000823186	0.00073513	0.000660683	0.000597148	0.000542468	
0.2	1.89171	0.0381615	0.0191852	0.011777	0.0114268	0.00604137	0.00463059	0.00368441	0.00301454	0.00297217	0.00216605	0.00186635	0.00162958	0.00143829	0.00128112	0.00115015	0.00103971	0.000945599	0.000864671	0.000794504	
0.4	1.93627	0.0403391	0.0204196	0.0125878	0.0121913	0.00648329	0.00497454	0.00395992	0.00323999	0.00320035	0.00232576	0.0020022	0.00174632	0.00153942	0.00136929	0.00122747	0.00110783	0.00100586	0.000918158	0.000842115	
0.6	1.99259	0.0421661	0.0215093	0.013345	0.0128833	0.00694083	0.00534756	0.00427218	0.00350666	0.00346202	0.00253101	0.00218413	0.00190922	0.00168647	0.00150297	0.00134972	0.00122023	0.00110968	0.00101446	0.000931779	
0.8	2.05986	0.0437923	0.0224587	0.0139781	0.0134729	0.0072857	0.00561432	0.00448406	0.00367841	0.00363576	0.00265028	0.00228458	0.0019947	0.00175982	0.00156634	0.00140479	0.00126832	0.00115187	0.00105159	0.000964565	
1	2.13886	0.0452681	0.0233127	0.0145506	0.0140002	0.00761375	0.00587805	0.00470273	0.00386394	0.00381749	0.00279189	0.00240985	0.0021067	0.00186082	0.0016581	0.00148867	0.00134542	0.00122307	0.00111765	0.00102608	
1.2	2.23176	0.0466189	0.0240896	0.0150683	0.014475	0.00789842	0.00609977	0.00487986	0.00400821	0.00396122	0.00289274	0.00249519	0.00217967	0.00192376	0.00171279	0.0015365	0.00138749	0.00126027	0.00115068	0.00105553	
1.4	2.34296	0.0478561	0.0247964	0.015541	0.0149026	0.00816729	0.00631574	0.00505886	0.00416018	0.00410785	0.00300896	0.00259842	0.00227238	0.00200778	0.00178951	0.00160702	0.00145268	0.00132083	0.00120719	0.00110847	
1.6	2.48124	0.0489774	0.0254245	0.0159496	0.0152722	0.00838352	0.0064829	0.00519176	0.00426811	0.00421306	0.00308383	0.00266178	0.00232656	0.00205452	0.00183014	0.00164259	0.001484	0.00134857	0.00123187	0.00113053	
1.8	2.66521	0.0499331	0.0259768	0.0163217	0.0155963	0.00859459	0.0066526	0.00533241	0.00438754	0.00432507	0.00317507	0.00274314	0.00239997	0.00212142	0.00189163	0.0016995	0.00153701	0.0013982	0.00127856	0.00117464	
2	2.93604	0.0502686	0.0260746	0.0163328	0.0156135	0.00854327	0.00659277	0.00526837	0.00432177	0.00426392	0.0031084	0.00267785	0.00233621	0.0020593	0.0018312	0.00164079	0.00148	0.00134286	0.00122485	0.00112251	
2.2	3.26177	0.0510907	0.0264754	0.0165608	0.0158112	0.00862738	0.00664531	0.00529989	0.00433883	0.00427778	0.00310691	0.00267124	0.00232578	0.002046	0.00181576	0.00162375	0.00146176	0.00132374	0.00120509	0.00110229	
2.4	3.4574	0.0522441	0.0271533	0.0170255	0.0162107	0.00889905	0.00686567	0.00548355	0.0044951	0.00442364	0.00322565	0.00277645	0.00241991	0.00213092	0.00189292	0.00169429	0.00152662	0.00138367	0.00126072	0.00115413	
2.6	3.5904	0.0532129	0.0276852	0.017369	0.0165151	0.00908054	0.00700671	0.00559651	0.00458771	0.00451141	0.00329126	0.00283283	0.0024689	0.00217391	0.00193097	0.00172822	0.00155708	0.00141118	0.00128569	0.00117692	
2.8	3.685	0.0540024	0.0281245	0.0176631	0.0167722	0.00925104	0.0071452	0.00571227	0.00468656	0.00460433	0.00336695	0.00290007	0.0025292	0.0022284	0.00198053	0.00177355	0.00159875	0.00144964	0.00132134	0.00121007	
3	3.75082	0.0546081	0.0284499	0.017873	0.016959	0.009363	0.00723239	0.00578221	0.00474393	0.00465902	0.00340758	0.00293493	0.00255944	0.00225487	0.00200389	0.00179433	0.00161735	0.00146639	0.0013365	0.00122386	
