Numero de iteracoes: 13
Erro: 2.58235e-07
Tempo de Resolucao do Problema: 204.174 segundos
/////////////////////////////////////////////
Posicao	Fluxo Escalar
	Grupo de Energia 1	Grupo de Energia 2	Grupo de Energia 3	Grupo de Energia 4	Grupo de Energia 5	Grupo de Energia 6	Grupo de Energia 7	Grupo de Energia 8	Grupo de Energia 9	Grupo de Energia 10	Grupo de Energia 11	Grupo de Energia 12	Grupo de Energia 13	Grupo de Energia 14	Grupo de Energia 15	Grupo de Energia 16	Grupo de Energia 17	Grupo de Energia 18	Grupo de Energia 19	Grupo de Energia 20
5.75	3.8116	0.0552111	0.0287494	0.0180609	0.0171256	0.00946575	0.00731493	0.00585088	0.00480251	0.0047133	0.00345244	0.00297488	0.00259532	0.00228733	0.00203342	0.00182134	0.00164214	0.00148925	0.00135764	0.00124347	
6	3.81876	0.0553302	0.0287818	0.0180719	0.0171364	0.0094678	0.00731624	0.00585205	0.00480376	0.00471339	0.00345387	0.00297647	0.00259703	0.00228913	0.00203529	0.00182324	0.00164407	0.00149118	0.00135956	0.00124538	
6.25	3.80654	0.0552702	0.0287047	0.0180072	0.0170803	0.00942617	0.00728255	0.00582446	0.00478088	0.00469012	0.00343744	0.00296246	0.00258496	0.00227864	0.0020261	0.00181513	0.00163687	0.00148474	0.00135378	0.00124015	
6.5	3.77433	0.0550275	0.0285156	0.0178649	0.0169558	0.00933932	0.00721254	0.0057669	0.00473277	0.00464244	0.00340211	0.00293185	0.00255815	0.00225494	0.00200499	0.0017962	0.00161979	0.00146924	0.00133964	0.00122721	
6.75	3.7203	0.0545959	0.0282105	0.0176416	0.0167599	0.00920492	0.00710425	0.00567783	0.00465832	0.00456914	0.00334771	0.00288487	0.00251722	0.002219	0.00197322	0.00176794	0.0015945	0.00144651	0.00131911	0.00120858	
7	3.641	0.0539659	0.0277839	0.017333	0.0164891	0.0090195	0.00695432	0.00555375	0.00455367	0.00446699	0.00326944	0.00281632	0.00245656	0.00216488	0.00192458	0.00172396	0.00155451	0.00140997	0.00128557	0.00117767	
7.25	3.53063	0.0531242	0.0272288	0.0169335	0.016139	0.00877934	0.0067605	0.00539398	0.00441974	0.00433608	0.00317098	0.00273092	0.0023818	0.00209892	0.00186597	0.00167157	0.00150743	0.00136744	0.00124699	0.00114253	
7.5	3.37973	0.0520543	0.0265369	0.0164379	0.0157046	0.00847597	0.0065118	0.00518529	0.00424145	0.00416382	0.00303469	0.00261038	0.00227421	0.00200216	0.0017784	0.00159185	0.00143449	0.00130042	0.00118515	0.00108525	
7.75	3.17304	0.0507418	0.0256935	0.0158428	0.0151778	0.00812365	0.00622758	0.00495031	0.00404344	0.00397111	0.0028871	0.00248133	0.00216028	0.00190079	0.00168757	0.00150999	0.00136033	0.00123292	0.00112346	0.00102867	
8	2.88599	0.0491937	0.0246384	0.0150623	0.0144944	0.00762301	0.00581049	0.00459493	0.00373532	0.0036744	0.00264456	0.00226389	0.00196359	0.00172155	0.00152322	0.00135845	0.00121993	0.00110227	0.00100142	0.00091428	
8.25	2.43745	0.046096	0.0225864	0.0135683	0.013187	0.00668439	0.00503469	0.00393868	0.00317022	0.00313248	0.00220556	0.00187278	0.001612	0.00140312	0.00123299	0.00109246	0.000974973	0.000875715	0.000791067	0.000718283	
8.5	2.15416	0.0437005	0.0211143	0.0125603	0.012282	0.00611559	0.00458589	0.00357553	0.00287063	0.00283824	0.00199125	0.00168925	0.00145328	0.00126477	0.00111156	0.000985243	0.000879812	0.000790865	0.000715099	0.000650017	
8.75	1.95528	0.0417168	0.0198746	0.0116989	0.0115111	0.00561735	0.0041886	0.00325061	0.00259955	0.00257362	0.00179234	0.00151663	0.00130187	0.00113077	0.000992038	0.000877912	0.000782835	0.000702761	0.000634659	0.000576241	
9	1.80418	0.0400207	0.0188286	0.0109931	0.010867	0.00523678	0.00389564	0.00301905	0.00241265	0.0023877	0.00166347	0.00140812	0.00120944	0.00105127	0.000923088	0.000817661	0.000729836	0.00065586	0.000592929	0.000538927	
9.25	1.68345	0.0385441	0.0179284	0.0103913	0.010314	0.00491098	0.00364254	0.00281647	0.00224663	0.00222409	0.00154478	0.0013062	0.00112081	0.000973389	0.000854026	0.000755936	0.000674281	0.000605547	0.000547107	0.000496984	
9.5	1.58419	0.0372457	0.0171448	0.00987367	0.00983379	0.00463986	0.00343638	0.00265525	0.00211769	0.00209536	0.00145706	0.00123276	0.00105853	0.000919998	0.000807822	0.000715614	0.000638826	0.000574158	0.000519145	0.000471935	
9.75	1.50142	0.0360988	0.0164579	0.00942428	0.00941365	0.00440678	0.00325893	0.00251561	0.00200485	0.00198349	0.0013779	0.00116524	0.00100012	0.000868849	0.000762583	0.000675252	0.000602541	0.000541322	0.000489257	0.000444588	
10	1.43207	0.0350849	0.0158541	0.00903266	0.0090447	0.00420739	0.00310888	0.00239909	0.00191207	0.00189079	0.00131494	0.00111254	0.000955379	0.000830436	0.000729267	0.0006461	0.000576831	0.000518483	0.000468837	0.000426222	
10.25	1.37406	0.0341899	0.0153231	0.00869079	0.00872019	0.00403544	0.00297993	0.00229897	0.00183211	0.00181109	0.00125983	0.00106587	0.000915244	0.000795469	0.000698469	0.00061872	0.000552294	0.000496343	0.00044874	0.000407885	
10.5	1.32586	0.0334024	0.0148564	0.00839212	0.0084346	0.00388691	0.0028692	0.0022135	0.00176428	0.00174323	0.00121379	0.00102726	0.000882385	0.000767157	0.000673815	0.000597052	0.000533092	0.000479197	0.000433326	0.000393941	
10.75	1.28636	0.0327124	0.0144465	0.00813085	0.00818299	0.00375842	0.00277412	0.00214063	0.00170681	0.0016855	0.00117508	0.000994863	0.000854821	0.000743392	0.000653093	0.000578807	0.000516896	0.00046472	0.000420306	0.000382171	
11	1.25465	0.0321103	0.0140861	0.0079011	0.00796045	0.00364497	0.00268984	0.0020757	0.00165529	0.0016338	0.00113996	0.000965332	0.000829596	0.000721563	0.000633989	0.000561921	0.000501837	0.000451179	0.000408041	0.000370985	
11.25	1.23003	0.0315859	0.0137675	0.00769743	0.00776188	0.00354569	0.00261717	0.00202069	0.00161252	0.00159029	0.00111207	0.00094245	0.000810548	0.000705519	0.000620343	0.00055022	0.000491735	0.000442411	0.000400397	0.000364297	
11.5	1.21195	0.0311269	0.0134802	0.0075085	0.00757905	0.00344711	0.00254242	0.00196201	0.00156519	0.00154285	0.00107887	0.000914202	0.000786152	0.000684185	0.000601485	0.000533388	0.000476581	0.000428658	0.000387824	0.000352726	
11.75	1.19994	0.0307109	0.0132175	0.00733628	0.00741069	0.00335901	0.00247673	0.00191154	0.00152551	0.00150238	0.00105284	0.000892977	0.000768701	0.000669769	0.000589548	0.000523507	0.000468422	0.000421957	0.000382368	0.00034834	
12	1.19361	0.0302394	0.0128864	0.00709582	0.00718628	0.00320853	0.00235348	0.00180766	0.00143608	0.00141561	0.000982657	0.000830155	0.00071188	0.000617941	0.000541942	0.000479513	0.000427552	0.000383812	0.00034662	0.000314715	
12.25	1.195	0.0297642	0.0125275	0.00682841	0.00693451	0.00303752	0.00221316	0.00168945	0.00133454	0.00131651	0.00090363	0.000759914	0.000648862	0.000560984	0.000490151	0.000432173	0.000384085	0.000343743	0.000309552	0.000280314	
12.5	1.20988	0.0297742	0.01249	0.00679821	0.00689714	0.00302464	0.00220636	0.00168674	0.00133464	0.00131449	0.000906887	0.000764146	0.000653746	0.000566295	0.000495726	0.000437893	0.000389865	0.000349519	0.000315278	0.000285957	
12.75	1.23792	0.0300583	0.0125926	0.00684829	0.00694014	0.00304319	0.00221964	0.00169679	0.0013426	0.00132144	0.000912322	0.000768887	0.000657963	0.000570109	0.000499225	0.000441142	0.000392911	0.000352398	0.000318016	0.000288574	
13	1.27932	0.0306061	0.0128492	0.00700145	0.00707894	0.00312064	0.0022797	0.00174508	0.00138242	0.00135964	0.000940969	0.000793545	0.000679381	0.000588846	0.000515709	0.000455712	0.000405839	0.000363906	0.00032829	0.000297768	
13.25	1.33468	0.0314004	0.0132377	0.00723221	0.00729418	0.00323037	0.00236166	0.00180877	0.00143348	0.00140935	0.000976432	0.000823837	0.000705679	0.000611992	0.000536327	0.00047427	0.000422696	0.000379342	0.000342524	0.000310976	
13.5	1.40502	0.032434	0.013757	0.0075452	0.00758704	0.00338238	0.00247581	0.00189765	0.00150461	0.00147908	0.00102504	0.000864686	0.000740407	0.000641784	0.000562073	0.000496658	0.000442263	0.000396518	0.000357658	0.000324352	
13.75	1.4918	0.0337038	0.0144054	0.00793749	0.00795521	0.00357193	0.00261777	0.00200822	0.00159341	0.00156587	0.00108697	0.000917626	0.000786392	0.000682269	0.000598131	0.000529096	0.000471702	0.00042344	0.000382442	0.000347303	
14	1.59706	0.0352095	0.0151848	0.00841198	0.00839998	0.00380146	0.00278891	0.00214042	0.00169833	0.00166928	0.0011576	0.000976589	0.000836213	0.000724777	0.000634692	0.000560753	0.000499269	0.000447562	0.000403638	0.000365995	
14.25	1.72352	0.036952	0.0160982	0.00897285	0.00892336	0.00407777	0.0029975	0.00230395	0.00183041	0.00179812	0.00125045	0.00105618	0.000905491	0.000785855	0.000689135	0.000609746	0.000543722	0.000488189	0.000441005	0.000400555	
14.5	1.87488	0.0389322	0.0171485	0.00962133	0.00952645	0.00439498	0.00323456	0.00248721	0.00197581	0.00194146	0.00134807	0.00113754	0.00097412	0.000844314	0.000739336	0.000653156	0.000581483	0.000521204	0.000469999	0.000426117	
14.75	2.05618	0.0411488	0.0183406	0.0103687	0.010214	0.00477521	0.00352546	0.00271777	0.00216366	0.00212381	0.0014817	0.0012526	0.00107459	0.000933095	0.00081859	0.000724532	0.000646261	0.000580395	0.000524407	0.000476395	
15	2.27457	0.0435957	0.0196685	0.0112007	0.0109781	0.00519013	0.00383831	0.00296138	0.00235807	0.00231473	0.00161313	0.00136243	0.00116741	0.00101226	0.000886632	0.000783401	0.000697489	0.000625197	0.000563764	0.000511103	
15.25	2.54137	0.0462616	0.021151	0.0121579	0.0118392	0.00569899	0.00423499	0.00328086	0.00262198	0.00256851	0.00180481	0.00152891	0.00131384	0.0011424	0.00100333	0.000888872	0.000793462	0.000713055	0.000644622	0.000585875	
15.5	2.87887	0.0491059	0.0227077	0.0131448	0.0127301	0.00620324	0.00462061	0.00358501	0.00286752	0.00280722	0.00197371	0.00167126	0.00143502	0.00124641	0.00109324	0.000967037	0.000861766	0.000773002	0.000697434	0.000632554	
15.75	3.34705	0.0522736	0.0245335	0.0143593	0.0137905	0.00688196	0.00516351	0.00403316	0.00324651	0.00316398	0.00226054	0.00192539	0.00166264	0.00145212	0.00128056	0.00113873	0.00102001	0.000919562	0.000833759	0.00075984	
16	4.15562	0.0543373	0.0255812	0.0149713	0.0143451	0.00714016	0.00534382	0.00416211	0.00334012	0.00325704	0.00231006	0.00196138	0.00168834	0.00146992	0.00129221	0.00114557	0.00102306	0.000919615	0.000831432	0.000755621	
16.25	5.24067	0.0586621	0.0279554	0.0164748	0.0156737	0.0079016	0.00592679	0.00462352	0.00371497	0.00361197	0.00257264	0.00218614	0.00188307	0.00164039	0.00144277	0.00127957	0.00114314	0.00102785	0.000929521	0.000844937	
16.5	5.74935	0.0632464	0.0305547	0.0181679	0.0171817	0.00880507	0.00662999	0.0051877	0.0041783	0.00405687	0.00290335	0.0024705	0.00213041	0.00185762	0.00163517	0.00145125	0.00129734	0.00116718	0.00105607	0.000960435	
16.75	6.10483	0.066642	0.0323733	0.0192872	0.0182135	0.00934699	0.00703545	0.00550242	0.00442975	0.00430207	0.0030756	0.00261621	0.00225541	0.0019661	0.00173026	0.00153531	0.0013722	0.00123429	0.00111659	0.00101529	
17	6.36027	0.0694285	0.0339031	0.0202503	0.0190951	0.00983043	0.00740048	0.00578697	0.00465713	0.00452429	0.00323011	0.00274594	0.00236574	0.00206097	0.00181261	0.0016074	0.00143579	0.00129076	0.00116704	0.00106062	
17.25	6.53987	0.0714788	0.0349916	0.0209087	0.0197114	0.010142	0.00763281	0.00596779	0.00480269	0.00466564	0.0033324	0.0028338	0.00244235	0.00212859	0.00187292	0.00166166	0.00148497	0.00133562	0.00120819	0.00109854	
17.5	6.65809	0.0728651	0.035749	0.0213773	0.0201458	0.0103657	0.00779633	0.00609084	0.00489738	0.00476016	0.00339176	0.00288149	0.00248109	0.00216034	0.00189912	0.0016834	0.0015031	0.00135078	0.0012209	0.00110922	
17.75	6.72348	0.0735913	0.0361557	0.0216291	0.0203782	0.0104929	0.00789584	0.00617246	0.00496668	0.00482554	0.00344557	0.00292983	0.002525	0.00220059	0.00193626	0.00171788	0.00153525	0.00138089	0.0012492	0.0011359	
18	6.74055	0.0736684	0.0362334	0.0216801	0.0204235	0.0105055	0.0078976	0.00616693	0.00495631	0.00481868	0.00343001	0.00291303	0.00250751	0.00218276	0.00191835	0.00170006	0.00151764	0.00136357	0.00123221	0.00111928	
18.25	6.71063	0.07309	0.0359872	0.0215569	0.0202916	0.010475	0.00788718	0.00616866	0.00496558	0.00482354	0.00344689	0.00293171	0.00252722	0.00220299	0.00193877	0.00172044	0.00153783	0.00138347	0.00125175	0.00113842	
18.5	6.63213	0.0718328	0.0353787	0.0211858	0.0199421	0.0102724	0.00772379	0.00603175	0.00484781	0.00471313	0.0033546	0.00284879	0.00245199	0.0021342	0.00187545	0.00166182	0.00148329	0.00133251	0.00120397	0.00109345	
18.75	6.50029	0.0698662	0.0344479	0.0206791	0.0194315	0.010087	0.00760722	0.00595755	0.00480088	0.00466076	0.00333805	0.00284111	0.00245062	0.00213739	0.00188199	0.00167082	0.00149412	0.00134469	0.00121714	0.00110736	
19	6.30623	0.0670993	0.0330155	0.0197768	0.0185958	0.00960438	0.00722794	0.00564864	0.00454244	0.00441454	0.00314521	0.00267149	0.0022996	0.0020016	0.00175885	0.00155837	0.00139078	0.00124921	0.00112849	0.00102469	
19.25	6.03512	0.0635278	0.031318	0.018843	0.0176633	0.00924267	0.00698946	0.00548718	0.00443149	0.00429619	0.00309211	0.00263593	0.00227683	0.00198834	0.00175276	0.00155775	0.00139438	0.00125608	0.00113792	0.00103613	
19.5	5.66226	0.0586554	0.0286105	0.0170849	0.0160575	0.00829311	0.00624604	0.00488556	0.00393205	0.00381695	0.00272557	0.00231615	0.00199434	0.00173618	0.00152566	0.00135164	0.00120604	0.00108296	0.000977936	0.000887583	
19.75	5.13352	0.0531415	0.0259587	0.0155768	0.0145811	0.00766381	0.00581474	0.00458227	0.00371554	0.00358911	0.00261301	0.00223653	0.0019394	0.00170005	0.00150408	0.00134141	0.00120476	0.00108877	0.0009894	0.000903571	
20	4.01713	0.0419532	0.0194434	0.0111996	0.0106548	0.00517893	0.00383199	0.00295303	0.00234656	0.00227506	0.00159231	0.00134138	0.00114591	0.000990407	0.000864571	0.000761272	0.000675407	0.000603248	0.00054202	0.000489617	
