Fluxo Escalar FINAL	ITER= 24	Erro= 9.45204e-007	RaioEspextral= 0.290762
____________________________________________
Pos	Fluxo Escalar MultiGrupo
____________________________________________
 		g= 1		g= 2		g= 3		g= 4		g= 5		g= 6		g= 7		g= 8		g= 9		g= 10		g= 11		g= 12		g= 13		g= 14		g= 15		g= 16		g= 17		g= 18		g= 19		
2.2	0.0729586	0.00997955	0.00778041	0.00819107	0.00881924	0.00979675	0.00733939	0.00831804	0.00976621	0.0120275	0.0158249	0.0226429	0.0131889	0.0131431	0.0107244	0.00386356	0.00120388	0.000105448	1.85228e-005	
2.3	0.0682041	0.00949993	0.00741429	0.0078135	0.00842184	0.00936583	0.00702269	0.00796447	0.00935639	0.0115272	0.0151679	0.021698	0.0127063	0.0126709	0.0103421	0.00372955	0.00116209	0.000101804	1.78821e-005	
2.4	0.0637918	0.00904155	0.0070636	0.00745106	0.00803942	0.00895003	0.00671644	0.00762194	0.00895867	0.0110409	0.0145288	0.0207785	0.0122291	0.0122024	0.00996215	0.00359584	0.00112039	9.81646e-005	1.72424e-005	
2.5	0.0596927	0.00860369	0.00672791	0.00710341	0.00767176	0.0085493	0.00642067	0.00729058	0.00857334	0.0105693	0.0139083	0.0198857	0.0117588	0.0117396	0.00958627	0.00346309	0.001079	9.45496e-005	1.66071e-005	
2.6	0.0558807	0.00818563	0.00640677	0.00677018	0.00731859	0.00816348	0.00613537	0.00697045	0.00820055	0.0101124	0.0133071	0.0190204	0.0112971	0.0112841	0.00921584	0.00333187	0.00103808	9.09746e-005	1.59788e-005	
2.7	0.0523327	0.00778664	0.00609969	0.00645096	0.00697961	0.00779235	0.00586045	0.00666155	0.00784036	0.00967061	0.0127253	0.0181831	0.0108449	0.0108372	0.00885202	0.00320266	0.000997781	8.74527e-005	1.53599e-005	
2.8	0.0490279	0.00740597	0.0058062	0.00614534	0.00665446	0.00743566	0.0055958	0.00636379	0.00749278	0.00924387	0.0121631	0.0173742	0.0104032	0.0104	0.00849575	0.00307583	0.000958233	8.39948e-005	1.47523e-005	
2.9	0.0459474	0.0070429	0.00552582	0.00585291	0.00634279	0.00709313	0.00534126	0.00607707	0.00715774	0.00883219	0.0116206	0.0165936	0.00997285	0.00997325	0.0081478	0.00295171	0.000919529	8.06096e-005	1.41575e-005	
3	0.0430742	0.00669673	0.00525807	0.00557323	0.00604422	0.00676441	0.00509666	0.00580124	0.00683509	0.00843547	0.0110976	0.0158413	0.00955428	0.00955768	0.00780875	0.00283054	0.000881748	7.73042e-005	1.35768e-005	
3.1	0.040393	0.00636676	0.00500247	0.00530586	0.00575836	0.00644918	0.00486177	0.0055361	0.00652468	0.00805355	0.0105941	0.0151172	0.00914795	0.00915378	0.00747907	0.00271252	0.000844951	7.4084e-005	1.3011e-005	
