Numero de iteracoes: 24
Erro: 9.44707e-07
Tempo de Resolucao do Problema: 9319.47 segundos
/////////////////////////////////////////////
Posicao	Fluxo Escalar
	Grupo de Energia 1	Grupo de Energia 2	Grupo de Energia 3	Grupo de Energia 4	Grupo de Energia 5	Grupo de Energia 6	Grupo de Energia 7	Grupo de Energia 8	Grupo de Energia 9	Grupo de Energia 10	Grupo de Energia 11	Grupo de Energia 12	Grupo de Energia 13	Grupo de Energia 14	Grupo de Energia 15	Grupo de Energia 16	Grupo de Energia 17	Grupo de Energia 18	Grupo de Energia 19
0.48	0.279388	0.0200525	0.0151984	0.0155613	0.0162456	0.0174551	0.0127215	0.0141007	0.0162188	0.0196318	0.0255229	0.036188	0.0169918	0.0162796	0.0128245	0.0043532	0.00134534	0.000116427	2.04775e-05	
0.5	0.274109	0.0199811	0.0151526	0.0155228	0.0162153	0.0174343	0.0127137	0.0140989	0.0162245	0.0196477	0.0255542	0.0362502	0.0171125	0.0164149	0.0129493	0.00440476	0.0013622	0.000117958	2.07459e-05	
0.52	0.268978	0.0199039	0.0151021	0.0154794	0.0161797	0.0174075	0.0127014	0.014092	0.0162241	0.0196559	0.0255751	0.0362966	0.017224	0.016541	0.0130663	0.00445344	0.0013781	0.000119401	2.09991e-05	
0.54	0.263989	0.0198214	0.0150475	0.0154315	0.0161392	0.0173751	0.0126849	0.0140802	0.0162179	0.0196568	0.0255862	0.0363284	0.0173268	0.0166583	0.0131758	0.00449932	0.00139307	0.000120761	2.12375e-05	
0.56	0.259134	0.019734	0.014989	0.0153794	0.016094	0.0173376	0.0126644	0.0140638	0.0162063	0.0196508	0.025588	0.0363463	0.0174213	0.0167672	0.0132781	0.00454252	0.00140716	0.00012204	2.14617e-05	
0.58	0.254408	0.0196422	0.0149269	0.0153235	0.0160446	0.0172951	0.0126402	0.0140432	0.0161895	0.0196385	0.025581	0.036351	0.0175077	0.0168679	0.0133734	0.00458311	0.00142039	0.000123242	2.16724e-05	
0.6	0.249806	0.0195463	0.0148615	0.0152639	0.0159912	0.0172482	0.0126125	0.0140185	0.0161679	0.01962	0.0255659	0.0363433	0.0175865	0.0169608	0.013462	0.00462118	0.00143279	0.00012437	2.187e-05	
0.62	0.245321	0.0194466	0.014793	0.0152011	0.0159341	0.017197	0.0125815	0.0139901	0.0161418	0.0195958	0.0255429	0.036324	0.0176578	0.0170462	0.0135441	0.00465682	0.0014444	0.000125425	2.20549e-05	
0.64	0.24095	0.0193435	0.0147217	0.0151351	0.0158735	0.0171418	0.0125475	0.0139581	0.0161115	0.0195663	0.0255126	0.0362935	0.0177219	0.0171242	0.01362	0.00469011	0.00145524	0.000126412	2.22278e-05	
0.66	0.236688	0.0192372	0.0146479	0.0150663	0.0158098	0.0170829	0.0125106	0.0139228	0.0160771	0.0195316	0.0254753	0.0362526	0.0177792	0.0171953	0.0136899	0.00472112	0.00146534	0.000127332	2.23889e-05	
0.68	0.232531	0.0191279	0.0145716	0.0149949	0.0157431	0.0170206	0.0124711	0.0138844	0.0160389	0.0194921	0.0254314	0.0362017	0.01783	0.0172596	0.0137539	0.00474993	0.00147472	0.000128189	2.25388e-05	
0.7	0.228473	0.019016	0.0144931	0.014921	0.0156735	0.016955	0.012429	0.013843	0.0159972	0.0194481	0.0253814	0.0361414	0.0178743	0.0173173	0.0138123	0.00477662	0.00148341	0.000128983	2.26778e-05	
0.72	0.224513	0.0189017	0.0144126	0.0148448	0.0156014	0.0168864	0.0123845	0.0137988	0.015952	0.0193998	0.0253254	0.0360722	0.0179126	0.0173688	0.0138653	0.00480124	0.00149143	0.000129717	2.28063e-05	
0.74	0.220646	0.0187852	0.0143302	0.0147666	0.0155269	0.0168149	0.0123378	0.013752	0.0159037	0.0193474	0.0252639	0.0359945	0.0179449	0.0174142	0.013913	0.00482387	0.00149881	0.000130394	2.29246e-05	
0.76	0.216869	0.0186666	0.0142461	0.0146864	0.0154502	0.0167408	0.012289	0.0137027	0.0158524	0.0192912	0.0251971	0.0359088	0.0179716	0.0174538	0.0139557	0.00484457	0.00150556	0.000131015	2.30332e-05	
0.78	0.213179	0.0185461	0.0141604	0.0146044	0.0153714	0.0166642	0.0122382	0.0136511	0.0157983	0.0192313	0.0251253	0.0358156	0.0179929	0.0174877	0.0139935	0.00486341	0.00151172	0.000131582	2.31324e-05	
0.8	0.209573	0.018424	0.0140732	0.0145207	0.0152907	0.0165853	0.0121857	0.0135974	0.0157414	0.019168	0.0250488	0.0357151	0.0180089	0.0175162	0.0140266	0.00488044	0.00151729	0.000132097	2.32225e-05	
0.82	0.206048	0.0183004	0.0139848	0.0144355	0.0152081	0.0165043	0.0121313	0.0135415	0.0156821	0.0191015	0.0249678	0.0356079	0.0180199	0.0175395	0.0140551	0.00489572	0.0015223	0.000132563	2.33037e-05	
0.84	0.202601	0.0181754	0.0138951	0.014349	0.0151239	0.0164212	0.0120754	0.0134838	0.0156204	0.0190318	0.0248825	0.0354942	0.018026	0.0175577	0.0140792	0.00490932	0.00152676	0.000132979	2.33765e-05	
0.86	0.199229	0.0180492	0.0138044	0.0142611	0.0150382	0.0163362	0.012018	0.0134242	0.0155564	0.0189593	0.0247933	0.0353743	0.0180274	0.017571	0.0140991	0.00492129	0.00153071	0.00013335	2.3441e-05	
0.88	0.195932	0.0179219	0.0137127	0.0141721	0.014951	0.0162495	0.0119591	0.013363	0.0154904	0.0188841	0.0247002	0.0352487	0.0180243	0.0175796	0.0141148	0.00493167	0.00153414	0.000133675	2.34977e-05	
0.9	0.192705	0.0177936	0.01362	0.014082	0.0148626	0.0161612	0.0118989	0.0133001	0.0154223	0.0188062	0.0246036	0.0351175	0.0180169	0.0175836	0.0141266	0.00494053	0.00153709	0.000133956	2.35467e-05	
0.92	0.189547	0.0176645	0.0135266	0.0139909	0.0147729	0.0160713	0.0118375	0.0132357	0.0153524	0.018726	0.0245036	0.0349812	0.0180053	0.0175833	0.0141346	0.00494791	0.00153956	0.000134195	2.35883e-05	
0.94	0.186456	0.0175346	0.0134324	0.0138989	0.0146821	0.0159801	0.0117749	0.01317	0.0152806	0.0186434	0.0244003	0.0348399	0.0179896	0.0175787	0.0141389	0.00495386	0.00154158	0.000134394	2.36227e-05	
0.96	0.183429	0.0174041	0.0133377	0.0138061	0.0145904	0.0158875	0.0117112	0.0131029	0.0152073	0.0185586	0.024294	0.034694	0.0179701	0.0175701	0.0141396	0.00495844	0.00154316	0.000134553	2.36503e-05	
0.98	0.180466	0.017273	0.0132423	0.0137126	0.0144976	0.0157938	0.0116465	0.0130345	0.0151323	0.0184718	0.0241849	0.0345436	0.0179469	0.0175575	0.0141369	0.00496167	0.00154431	0.000134675	2.36712e-05	
1	0.177563	0.0171415	0.0131464	0.0136184	0.0144041	0.0156989	0.0115809	0.012965	0.015056	0.018383	0.024073	0.0343891	0.0179201	0.0175412	0.0141308	0.00496362	0.00154505	0.00013476	2.36857e-05	
1.02	0.17472	0.0170096	0.0130502	0.0135237	0.0143097	0.015603	0.0115144	0.0128944	0.0149782	0.0182925	0.0239586	0.0342307	0.0178899	0.0175212	0.0141216	0.00496433	0.0015454	0.000134809	2.3694e-05	
1.04	0.171934	0.0168774	0.0129535	0.0134284	0.0142147	0.0155061	0.0114471	0.0128229	0.0148991	0.0182002	0.0238418	0.0340685	0.0178563	0.0174976	0.0141093	0.00496383	0.00154536	0.000134824	2.36963e-05	
1.06	0.169204	0.0167449	0.0128566	0.0133327	0.014119	0.0154084	0.011379	0.0127503	0.0148189	0.0181063	0.0237227	0.0339028	0.0178196	0.0174707	0.014094	0.00496216	0.00154495	0.000134807	2.36928e-05	
1.08	0.166529	0.0166123	0.0127594	0.0132367	0.0140228	0.0153099	0.0113103	0.0126769	0.0147375	0.0180109	0.0236015	0.0337338	0.0177798	0.0174406	0.0140758	0.00495938	0.00154418	0.000134758	2.36838e-05	
1.1	0.163906	0.0164797	0.012662	0.0131402	0.013926	0.0152107	0.0112409	0.0126027	0.014655	0.0179141	0.0234783	0.0335617	0.0177371	0.0174073	0.0140549	0.00495551	0.00154307	0.000134678	2.36694e-05	
1.12	0.161335	0.0163469	0.0125645	0.0130435	0.0138289	0.0151108	0.0111709	0.0125277	0.0145716	0.017816	0.0233532	0.0333866	0.0176915	0.017371	0.0140313	0.0049506	0.00154163	0.000134568	2.36497e-05	
1.14	0.158814	0.0162142	0.0124668	0.0129466	0.0137313	0.0150104	0.0111004	0.0124521	0.0144872	0.0177166	0.0232263	0.0332088	0.0176432	0.0173317	0.0140051	0.00494467	0.00153986	0.00013443	2.36251e-05	
1.16	0.156342	0.0160816	0.0123691	0.0128495	0.0136335	0.0149094	0.0110294	0.0123758	0.014402	0.0176161	0.0230978	0.0330284	0.0175923	0.0172897	0.0139764	0.00493778	0.00153779	0.000134264	2.35957e-05	
1.18	0.153917	0.0159492	0.0122714	0.0127523	0.0135353	0.014808	0.010958	0.0122989	0.014316	0.0175145	0.0229677	0.0328455	0.017539	0.017245	0.0139454	0.00492994	0.00153542	0.000134072	2.35616e-05	
1.2	0.151539	0.0158169	0.0121737	0.012655	0.0134369	0.0147061	0.0108862	0.0122214	0.0142293	0.0174118	0.0228362	0.0326604	0.0174832	0.0171976	0.0139121	0.0049212	0.00153276	0.000133854	2.3523e-05	
1.22	0.149206	0.0156848	0.0120761	0.0125576	0.0133383	0.0146039	0.0108139	0.0121435	0.0141419	0.0173083	0.0227033	0.0324732	0.0174251	0.0171478	0.0138766	0.00491158	0.00152983	0.000133612	2.34801e-05	
1.24	0.146916	0.015553	0.0119786	0.0124602	0.0132396	0.0145014	0.0107414	0.0120651	0.0140539	0.0172039	0.0225692	0.0322839	0.0173648	0.0170956	0.0138389	0.00490113	0.00152663	0.000133346	2.3433e-05	
1.26	0.14467	0.0154216	0.0118812	0.0123628	0.0131408	0.0143986	0.0106686	0.0119863	0.0139653	0.0170987	0.0224339	0.0320929	0.0173023	0.0170411	0.0137992	0.00488986	0.00152317	0.000133057	2.33819e-05	
1.28	0.142465	0.0152904	0.011784	0.0122655	0.0130419	0.0142956	0.0105955	0.0119072	0.0138762	0.0169927	0.0222975	0.0319001	0.0172379	0.0169844	0.0137576	0.00487781	0.00151947	0.000132746	2.3327e-05	
1.3	0.140301	0.0151597	0.0116869	0.0121683	0.012943	0.0141924	0.0105223	0.0118277	0.0137866	0.0168861	0.0221602	0.0317057	0.0171715	0.0169255	0.0137141	0.00486501	0.00151552	0.000132414	2.32683e-05	
1.32	0.138177	0.0150294	0.0115901	0.0120712	0.0128441	0.0140891	0.0104488	0.0117479	0.0136967	0.0167788	0.0220219	0.0315098	0.0171033	0.0168647	0.0136687	0.00485149	0.00151135	0.000132062	2.32061e-05	
1.34	0.136092	0.0148995	0.0114935	0.0119743	0.0127452	0.0139857	0.0103752	0.0116679	0.0136063	0.016671	0.0218827	0.0313126	0.0170332	0.0168019	0.0136216	0.00483727	0.00150696	0.000131689	2.31404e-05	
1.36	0.134045	0.0147701	0.0113972	0.0118775	0.0126465	0.0138823	0.0103014	0.0115877	0.0135156	0.0165627	0.0217428	0.0311141	0.0169615	0.0167372	0.0135729	0.00482239	0.00150236	0.000131298	2.30715e-05	
