Numero de iteracoes: 24
Erro: 9.44724e-07
Tempo de Resolucao do Problema: 1119.05 segundos
/////////////////////////////////////////////
Posicao	Fluxo Escalar
	Grupo de Energia 1	Grupo de Energia 2	Grupo de Energia 3	Grupo de Energia 4	Grupo de Energia 5	Grupo de Energia 6	Grupo de Energia 7	Grupo de Energia 8	Grupo de Energia 9	Grupo de Energia 10	Grupo de Energia 11	Grupo de Energia 12	Grupo de Energia 13	Grupo de Energia 14	Grupo de Energia 15	Grupo de Energia 16	Grupo de Energia 17	Grupo de Energia 18	Grupo de Energia 19
0	0.507947	0.0159391	0.0118752	0.011953	0.0122378	0.0128606	0.00918487	0.00999963	0.0112803	0.013364	0.0169441	0.0231866	0.00916991	0.00818977	0.00575832	0.00163793	0.000414465	2.83954e-05	4.17812e-06	
0.02	0.488817	0.0167893	0.0125274	0.0126276	0.0129497	0.0136351	0.00975687	0.0106425	0.0120339	0.0143012	0.0182119	0.0250911	0.00995177	0.0089899	0.0064657	0.00191073	0.000516886	3.87328e-05	6.30587e-06	
0.04	0.471565	0.0174905	0.0130655	0.0131844	0.0135375	0.0142746	0.0102291	0.0111727	0.012654	0.0150691	0.019243	0.026622	0.0106191	0.00966163	0.00704001	0.00212265	0.000591451	4.59955e-05	7.73234e-06	
0.06	0.455901	0.0180692	0.0135101	0.0136453	0.014025	0.0148061	0.0106219	0.011614	0.01317	0.015707	0.0200963	0.0278812	0.0112033	0.0102464	0.00753525	0.00230505	0.000655335	5.22048e-05	8.9239e-06	
0.08	0.441587	0.0185467	0.0138781	0.0140279	0.0144311	0.0152504	0.0109514	0.0119849	0.0136042	0.0162439	0.0208137	0.0289387	0.011725	0.0107691	0.00797872	0.0024698	0.000712825	5.77453e-05	9.96819e-06	
0.1	0.428427	0.0189404	0.0141828	0.0143461	0.0147705	0.0156239	0.0112295	0.0122991	0.0139732	0.0167013	0.0214258	0.0298427	0.0121979	0.0112451	0.00838477	0.00262196	0.000765576	6.27883e-05	1.09059e-05	
0.12	0.416255	0.0192642	0.0144349	0.014611	0.0150552	0.0159394	0.0114659	0.0125674	0.0142897	0.0170951	0.0219546	0.0306273	0.0126315	0.011684	0.00876144	0.00276405	0.000814495	6.74334e-05	1.17603e-05	
0.14	0.404936	0.0195296	0.0146433	0.0148318	0.0152944	0.016207	0.0116679	0.012798	0.0145633	0.0174372	0.0224161	0.0313161	0.0130322	0.0120921	0.00911355	0.00289756	0.000860175	7.17456e-05	1.25465e-05	
0.16	0.394356	0.0197458	0.014815	0.0150155	0.0154956	0.0164347	0.0118413	0.0129974	0.0148013	0.0177367	0.0228222	0.0319264	0.0134047	0.0124736	0.00944425	0.00302351	0.000903036	7.57707e-05	1.32752e-05	
0.18	0.38442	0.0199205	0.0149557	0.015168	0.0156649	0.0166287	0.0119906	0.0131704	0.0150095	0.0180003	0.023182	0.0324708	0.0137524	0.0128317	0.00975577	0.00314264	0.000943387	7.95426e-05	1.3954e-05	
0.2	0.375049	0.0200598	0.01507	0.0152939	0.0158069	0.0167941	0.0121194	0.0133211	0.0151921	0.0182333	0.023502	0.0329585	0.0140779	0.0131685	0.0100498	0.00325553	0.000981469	8.30876e-05	1.45889e-05	
0.22	0.366176	0.020169	0.0151617	0.0153971	0.0159257	0.0169349	0.0122306	0.0134524	0.0153528	0.0184399	0.0237877	0.0333968	0.014383	0.0134858	0.0103276	0.00336265	0.00101747	8.64269e-05	1.51847e-05	
0.24	0.357746	0.0202521	0.015234	0.0154807	0.0160242	0.0170544	0.0123264	0.0135669	0.0154943	0.0186233	0.024043	0.0337911	0.0146695	0.0137851	0.0105905	0.00346439	0.00105156	8.95776e-05	1.57451e-05	
0.26	0.34971	0.0203128	0.0152895	0.0155472	0.0161052	0.0171552	0.0124088	0.0136665	0.0156187	0.018786	0.0242712	0.0341461	0.0149387	0.0140674	0.0108392	0.00356108	0.00108386	9.25543e-05	1.62731e-05	
0.28	0.34203	0.0203538	0.0153302	0.0155988	0.0161707	0.0172395	0.0124791	0.0137529	0.0157279	0.0189303	0.0244749	0.0344652	0.0151915	0.0143339	0.0110746	0.00365301	0.00111448	9.53692e-05	1.67713e-05	
0.3	0.334671	0.0203776	0.015358	0.0156372	0.0162225	0.0173092	0.0125388	0.0138274	0.0158234	0.0190577	0.0246565	0.0347516	0.0154291	0.0145854	0.0112975	0.00374041	0.00114352	9.80329e-05	1.72419e-05	
0.32	0.327603	0.0203862	0.0153743	0.0156638	0.016262	0.0173656	0.0125889	0.0138912	0.0159064	0.0191699	0.0248176	0.0350079	0.0156522	0.0148227	0.0115084	0.00382352	0.00117106	0.000100555	1.76869e-05	
0.34	0.320802	0.0203814	0.0153804	0.01568	0.0162906	0.0174101	0.0126301	0.0139452	0.015978	0.019268	0.02496	0.0352363	0.0158617	0.0150465	0.011708	0.00390252	0.0011972	0.000102943	1.81077e-05	
0.36	0.314247	0.0203646	0.0153774	0.0156867	0.0163091	0.0174438	0.0126634	0.0139901	0.0160391	0.0193531	0.0250849	0.0354387	0.0160582	0.0152575	0.0118968	0.0039776	0.00122198	0.000105204	1.85059e-05	
0.38	0.307918	0.0203371	0.0153661	0.0156848	0.0163186	0.0174676	0.0126893	0.0140268	0.0160905	0.0194261	0.0251937	0.035617	0.0162422	0.0154561	0.0120753	0.00404892	0.00124548	0.000107346	1.88826e-05	
0.4	0.3018	0.0202999	0.0153473	0.0156752	0.0163198	0.0174822	0.0127084	0.0140559	0.0161328	0.019488	0.0252873	0.0357727	0.0164145	0.0156431	0.0122439	0.00411663	0.00126776	0.000109374	1.92391e-05	
0.42	0.295878	0.020254	0.0153218	0.0156586	0.0163135	0.0174885	0.0127212	0.0140778	0.0161668	0.0195393	0.0253669	0.0359073	0.0165756	0.0158188	0.012403	0.00418086	0.00128886	0.000111293	1.95763e-05	
0.44	0.29014	0.0202001	0.0152902	0.0156354	0.0163001	0.017487	0.0127282	0.014093	0.0161929	0.0195809	0.0254332	0.0360221	0.0167258	0.0159838	0.012553	0.00424176	0.00130883	0.000113109	1.98952e-05	
0.46	0.284575	0.0201391	0.0152529	0.0156062	0.0162803	0.0174783	0.0127298	0.0141021	0.0162117	0.0196133	0.025487	0.0361182	0.0168658	0.0161385	0.0126943	0.00429944	0.00132773	0.000114826	2.01965e-05	
0.48	0.279172	0.0200715	0.0152104	0.0155716	0.0162546	0.0174629	0.0127263	0.0141054	0.0162236	0.019637	0.0255292	0.0361968	0.0169959	0.0162833	0.0128272	0.00435402	0.00134559	0.000116448	2.04812e-05	
0.5	0.273924	0.0199979	0.0151631	0.0155319	0.0162233	0.0174413	0.0127181	0.0141033	0.016229	0.0196527	0.0255604	0.0362589	0.0171165	0.0164186	0.012952	0.0044056	0.00136246	0.000117979	2.07498e-05	
0.52	0.268822	0.0199188	0.0151115	0.0154875	0.0161868	0.0174139	0.0127055	0.014096	0.0162284	0.0196607	0.0255812	0.0363054	0.0172281	0.0165447	0.0130691	0.0044543	0.00137836	0.000119423	2.1003e-05	
0.54	0.263859	0.0198347	0.0150559	0.0154388	0.0161456	0.017381	0.0126887	0.014084	0.016222	0.0196615	0.0255923	0.0363372	0.0173309	0.0166621	0.0131786	0.00450021	0.00139334	0.000120784	2.12415e-05	
0.56	0.259028	0.019746	0.0149965	0.015386	0.0160999	0.017343	0.012668	0.0140675	0.0162103	0.0196556	0.0255941	0.0363552	0.0174254	0.016771	0.0132809	0.00454342	0.00140744	0.000122064	2.14659e-05	
0.58	0.254323	0.0196529	0.0149337	0.0153295	0.01605	0.0173003	0.0126436	0.0140468	0.0161935	0.0196432	0.0255873	0.03636	0.0175119	0.0168717	0.0133763	0.00458403	0.00142067	0.000123266	2.16767e-05	
0.6	0.24974	0.019556	0.0148677	0.0152695	0.0159963	0.0172531	0.0126158	0.0140221	0.0161719	0.0196248	0.0255722	0.0363525	0.0175906	0.0169647	0.0134649	0.00462213	0.00143308	0.000124394	2.18743e-05	
0.62	0.245272	0.0194555	0.0147988	0.0152063	0.0159389	0.0172017	0.0125848	0.0139936	0.0161459	0.0196007	0.0255493	0.0363332	0.017662	0.0170501	0.0135471	0.00465778	0.0014447	0.000125451	2.20594e-05	
0.64	0.240916	0.0193516	0.0147271	0.01514	0.0158782	0.0171465	0.0125508	0.0139617	0.0161155	0.0195712	0.025519	0.0363028	0.0177262	0.0171282	0.013623	0.00469109	0.00145554	0.000126438	2.22323e-05	
0.66	0.236666	0.0192447	0.0146529	0.015071	0.0158143	0.0170875	0.0125139	0.0139264	0.0160812	0.0195366	0.0254818	0.0362619	0.0177835	0.0171992	0.0136929	0.00472212	0.00146564	0.000127359	2.23936e-05	
0.68	0.232519	0.019135	0.0145764	0.0149994	0.0157475	0.0170252	0.0124743	0.013888	0.0160431	0.0194972	0.0254381	0.0362111	0.0178342	0.0172636	0.013757	0.00475094	0.00147503	0.000128215	2.25435e-05	
0.7	0.228471	0.0190227	0.0144977	0.0149254	0.0156779	0.0169596	0.0124322	0.0138466	0.0160013	0.0194532	0.0253881	0.0361509	0.0178786	0.0173214	0.0138154	0.00477764	0.00148372	0.00012901	2.26826e-05	
0.72	0.224519	0.0189081	0.014417	0.0148492	0.0156058	0.016891	0.0123878	0.0138024	0.0159563	0.0194049	0.0253322	0.0360817	0.0179169	0.0173729	0.0138684	0.00480227	0.00149175	0.000129745	2.28111e-05	
0.74	0.220658	0.0187913	0.0143345	0.0147709	0.0155313	0.0168195	0.0123411	0.0137557	0.015908	0.0193526	0.0252707	0.0360041	0.0179493	0.0174183	0.0139162	0.00482491	0.00149913	0.000130422	2.29295e-05	
0.76	0.216886	0.0186725	0.0142504	0.0146906	0.0154546	0.0167455	0.0122924	0.0137065	0.0158567	0.0192964	0.0252039	0.0359184	0.017976	0.0174579	0.0139589	0.00484563	0.00150589	0.000131043	2.30382e-05	
0.78	0.2132	0.0185519	0.0141646	0.0146086	0.0153758	0.0166689	0.0122416	0.0136549	0.0158026	0.0192366	0.0251321	0.0358252	0.0179973	0.0174919	0.0139967	0.00486447	0.00151205	0.00013161	2.31374e-05	
0.8	0.209597	0.0184297	0.0140775	0.014525	0.0152951	0.01659	0.0121891	0.0136012	0.0157458	0.0191733	0.0250556	0.0357247	0.0180133	0.0175204	0.0140298	0.00488151	0.00151762	0.000132126	2.32275e-05	
0.82	0.206074	0.018306	0.013989	0.0144398	0.0152125	0.016509	0.0121348	0.0135454	0.0156865	0.0191068	0.0249746	0.0356174	0.0180243	0.0175436	0.0140583	0.00489681	0.00152263	0.000132592	2.33088e-05	
0.84	0.202629	0.018181	0.0138993	0.0143532	0.0151284	0.016426	0.0120789	0.0134876	0.0156248	0.0190371	0.0248893	0.0355036	0.0180304	0.0175618	0.0140824	0.00491041	0.0015271	0.000133009	2.33816e-05	
0.86	0.199258	0.0180548	0.0138086	0.0142654	0.0150427	0.016341	0.0120214	0.0134281	0.0155608	0.0189646	0.0248001	0.0353837	0.0180318	0.0175751	0.0141023	0.00492238	0.00153105	0.000133379	2.34462e-05	
0.88	0.195961	0.0179274	0.0137168	0.0141764	0.0149555	0.0162543	0.0119626	0.0133668	0.0154948	0.0188894	0.024707	0.035258	0.0180287	0.0175837	0.0141181	0.00493277	0.00153448	0.000133704	2.35029e-05	
0.9	0.192735	0.0177992	0.0136242	0.0140862	0.0148671	0.016166	0.0119024	0.013304	0.0154267	0.0188115	0.0246103	0.0351268	0.0180213	0.0175878	0.0141299	0.00494163	0.00153743	0.000133986	2.35519e-05	
