Numero de iteracoes: 13
Erro: 2.54088e-07
Tempo de Resolucao do Problema: 1131.73 segundos
/////////////////////////////////////////////
Posicao	Fluxo Escalar
	Grupo de Energia 1	Grupo de Energia 2	Grupo de Energia 3	Grupo de Energia 4	Grupo de Energia 5	Grupo de Energia 6	Grupo de Energia 7	Grupo de Energia 8	Grupo de Energia 9	Grupo de Energia 10	Grupo de Energia 11	Grupo de Energia 12	Grupo de Energia 13	Grupo de Energia 14	Grupo de Energia 15	Grupo de Energia 16	Grupo de Energia 17	Grupo de Energia 18	Grupo de Energia 19	Grupo de Energia 20
0	1.86462	0.0349911	0.0171033	0.0102494	0.0100664	0.00504801	0.00379881	0.0029711	0.00239179	0.00237343	0.00166794	0.00141682	0.00122023	0.00106282	0.000934583	0.000828622	0.000739992	0.000665064	0.00060112	0.000546092	
0.02	1.86825	0.0353186	0.0173282	0.0104223	0.0102158	0.00516979	0.00390446	0.00306468	0.00247595	0.00245284	0.0017389	0.00148241	0.00128131	0.00112002	0.000988426	0.000879516	0.000788274	0.000711015	0.000644977	0.000588056	
0.04	1.87199	0.0356387	0.0175455	0.0105873	0.0103595	0.00528336	0.00400183	0.00314993	0.00255175	0.00252489	0.00180135	0.00153948	0.00133386	0.0011687	0.00103375	0.000921894	0.000828048	0.000748469	0.000680352	0.000621555	
0.06	1.87583	0.0359517	0.0177556	0.0107451	0.0104978	0.00538957	0.00409193	0.00322799	0.00262043	0.00259063	0.00185683	0.0015897	0.00137967	0.00121075	0.00107255	0.000957861	0.000861525	0.000779741	0.000709657	0.000649098	
0.08	1.87978	0.0362578	0.0179589	0.0108963	0.0106311	0.0054892	0.00417562	0.00329981	0.00268305	0.00265094	0.00190656	0.00163435	0.00142009	0.00124759	0.00110631	0.000988953	0.000890286	0.000806452	0.000734552	0.000672377	
0.1	1.88383	0.0365574	0.0181558	0.0110411	0.0107596	0.00558291	0.00425365	0.00336622	0.0027405	0.00270656	0.00195154	0.00167448	0.00145619	0.0012803	0.00113614	0.0010163	0.00091547	0.000829748	0.000756187	0.000692541	
0.12	1.888	0.0368507	0.0183466	0.0111802	0.0108836	0.00567131	0.00432669	0.00342792	0.00279352	0.00275813	0.00199257	0.00171088	0.0014888	0.00130973	0.00116287	0.00104072	0.000937898	0.000850442	0.000775362	0.000710379	
0.14	1.89226	0.0371379	0.0185317	0.0113139	0.0110034	0.00575494	0.00439529	0.00348551	0.00284273	0.00280618	0.00203029	0.00174423	0.00151856	0.0013365	0.00118712	0.00106283	0.000958169	0.000869116	0.000792643	0.000726436	
0.16	1.89664	0.0374193	0.0187113	0.0114425	0.0111193	0.00583426	0.00445997	0.00353952	0.00288865	0.00285117	0.00206522	0.00177502	0.00154597	0.00136112	0.00120938	0.0010831	0.000976723	0.000886191	0.000808432	0.000741096	
0.18	1.90112	0.037695	0.0188858	0.0115665	0.0112314	0.0059097	0.00452116	0.00359038	0.00293173	0.0028935	0.00209781	0.00180367	0.00157144	0.00138395	0.00123001	0.00110185	0.000993883	0.000901975	0.000823017	0.000754633	
