Numero de iteracoes: 24
Erro: 9.4476e-07
Tempo de Resolucao do Problema: 123.044 segundos
/////////////////////////////////////////////
Posicao	Fluxo Escalar
	Grupo de Energia 1	Grupo de Energia 2	Grupo de Energia 3	Grupo de Energia 4	Grupo de Energia 5	Grupo de Energia 6	Grupo de Energia 7	Grupo de Energia 8	Grupo de Energia 9	Grupo de Energia 10	Grupo de Energia 11	Grupo de Energia 12	Grupo de Energia 13	Grupo de Energia 14	Grupo de Energia 15	Grupo de Energia 16	Grupo de Energia 17	Grupo de Energia 18	Grupo de Energia 19
0	0.507947	0.0159391	0.0118752	0.011953	0.0122378	0.0128606	0.00918487	0.00999963	0.0112803	0.013364	0.0169441	0.0231866	0.00916991	0.00818977	0.00575832	0.00163793	0.000414465	2.83954e-05	4.17812e-06	
0.2	0.374999	0.0200637	0.0150728	0.0152968	0.0158098	0.0167971	0.0121215	0.0133233	0.0151947	0.0182363	0.0235058	0.0329636	0.0140793	0.0131698	0.0100508	0.00325587	0.000981611	8.31032e-05	1.45923e-05	
0.4	0.301778	0.0203013	0.0153484	0.0156763	0.0163209	0.0174833	0.0127092	0.0140567	0.0161338	0.0194891	0.0252889	0.035775	0.0164154	0.0156439	0.0122445	0.00411685	0.00126784	0.000109383	1.92407e-05	
0.6	0.249728	0.0195567	0.0148683	0.0152701	0.0159969	0.0172538	0.0126163	0.0140226	0.0161726	0.0196256	0.0255732	0.0363541	0.0175914	0.0169654	0.0134655	0.00462233	0.00143315	0.000124401	2.18755e-05	
0.8	0.209588	0.0184302	0.0140778	0.0145254	0.0152955	0.0165905	0.0121894	0.0136016	0.0157463	0.0191739	0.0250564	0.0357259	0.0180139	0.017521	0.0140303	0.0048817	0.00151768	0.000132132	2.32285e-05	
1	0.177582	0.0171473	0.0131509	0.013623	0.0144088	0.015704	0.0115846	0.0129691	0.0150606	0.0183886	0.0240801	0.0343989	0.017925	0.0175458	0.0141346	0.00496492	0.00154546	0.000134795	2.36919e-05	
1.2	0.151547	0.0158223	0.0121778	0.0126591	0.0134412	0.0147106	0.0108894	0.012225	0.0142333	0.0174166	0.0228423	0.032669	0.0174878	0.0172021	0.0139157	0.00492246	0.00153315	0.000133889	2.3529e-05	
1.4	0.13006	0.0145175	0.011209	0.0116882	0.0124528	0.0136792	0.0101564	0.0114297	0.0133367	0.0163489	0.0214662	0.0307212	0.0168175	0.0166066	0.013474	0.0047919	0.00149293	0.000130495	2.29298e-05	
1.6	0.112131	0.013267	0.0102726	0.0107416	0.0114794	0.0126511	0.00941798	0.010621	0.0124165	0.0152435	0.0200314	0.028676	0.0159974	0.0158453	0.0128838	0.00460142	0.00143378	0.000125412	2.20345e-05	
1.8	0.0970387	0.0120885	0.00938416	0.00983726	0.0105418	0.0116517	0.0086943	0.00982299	0.0115023	0.0141385	0.0185903	0.0266134	0.0150883	0.0149816	0.0122003	0.00437216	0.00136241	0.000119235	2.09473e-05	
2	0.084246	0.0109902	0.00855141	0.00898468	0.00965203	0.0106961	0.0079979	0.00905088	0.0106131	0.0130589	0.0171775	0.0245862	0.0141344	0.0140622	0.0114643	0.00411987	0.00128379	0.000112404	1.97458e-05	
2.2	0.07334	0.00997443	0.00777754	0.00818847	0.00881641	0.00979315	0.00733627	0.00831408	0.00976109	0.0120207	0.0158157	0.0226291	0.0131677	0.0131214	0.0107058	0.00385622	0.00120159	0.000105245	1.84871e-05	
2.4	0.0639977	0.00904037	0.00706284	0.00744999	0.00803763	0.00894708	0.00671357	0.00761807	0.00895346	0.0110338	0.0145189	0.0207639	0.0122112	0.012184	0.00994657	0.00358973	0.00111849	9.79957e-05	1.72129e-05	
2.6	0.0559624	0.00818498	0.00640585	0.00676858	0.00731601	0.00815949	0.00613168	0.00696566	0.00819425	0.010104	0.0132955	0.0190038	0.011281	0.0112676	0.00920203	0.00332655	0.00103642	9.08281e-05	1.59531e-05	
2.8	0.0490271	0.00740412	0.00580409	0.00614237	0.00665035	0.00743005	0.00559096	0.00635777	0.00748516	0.00923397	0.0121498	0.0173553	0.0103881	0.0103845	0.00848299	0.003071	0.000956732	8.38624e-05	1.47291e-05	
3	0.0430229	0.00669306	0.00525445	0.00556868	0.00603851	0.00675717	0.00509072	0.0057941	0.0068263	0.0084243	0.0110828	0.0158206	0.00953965	0.00954285	0.00779662	0.00282602	0.000880345	7.71808e-05	1.35551e-05	
3.2	0.0378108	0.00604682	0.00475355	0.00504445	0.00547774	0.00613851	0.00462961	0.00527346	0.00621667	0.00767419	0.0100939	0.0143989	0.00873983	0.00874753	0.0071474	0.0025935	0.000807851	7.08362e-05	1.24404e-05	
3.4	0.0332755	0.00546041	0.00429789	0.00456639	0.00496501	0.00557122	0.00420583	0.00479413	0.00565455	0.00698181	0.00918095	0.013087	0.00799077	0.00800128	0.00653781	0.00237456	0.000739596	6.48602e-05	1.13906e-05	
3.6	0.0293208	0.00492896	0.00388399	0.00413119	0.0044971	0.0050522	0.00381733	0.00435401	0.00513774	0.00634469	0.00834074	0.0118805	0.00729299	0.00730507	0.00596883	0.00216973	0.000675745	5.92677e-05	1.04082e-05	
3.8	0.0258656	0.00444779	0.00350848	0.00373556	0.00407079	0.00457824	0.00346192	0.00395082	0.00466375	0.00575996	0.00756962	0.0107741	0.00664585	0.00665862	0.00544035	0.00197909	0.000616328	5.40621e-05	9.49381e-06	
4	0.0228416	0.00401253	0.00316815	0.00337632	0.00368293	0.00414611	0.00313735	0.00358218	0.00422995	0.00522449	0.00686353	0.00976187	0.00604793	0.00606076	0.00495151	0.00180246	0.000561281	4.92381e-05	8.64649e-06	
4.2	0.0201907	0.00361906	0.00285996	0.00305045	0.00333046	0.00375267	0.00284141	0.00324568	0.00383364	0.00473507	0.00621829	0.00883764	0.00549722	0.00550969	0.00450089	0.0016394	0.000510469	4.47843e-05	7.86423e-06	
4.4	0.0178637	0.00326356	0.00258106	0.00275511	0.00301046	0.00339486	0.00257194	0.00293897	0.00347215	0.00428849	0.00562966	0.00799524	0.00499137	0.00500319	0.00408672	0.00148933	0.000463712	4.06852e-05	7.1443e-06	
4.6	0.0158181	0.00294253	0.00232884	0.00248763	0.00272021	0.0030698	0.00232683	0.00265977	0.00314285	0.00388157	0.00509347	0.00722859	0.00452781	0.00453882	0.003707	0.0013516	0.000420801	3.69227e-05	6.4835e-06	
4.8	0.0140177	0.00265273	0.00210084	0.00224552	0.00245713	0.00277475	0.00210412	0.00240588	0.00284325	0.00351127	0.00460569	0.00653177	0.00410385	0.00411395	0.00335961	0.00122547	0.000381509	3.3477e-05	5.87837e-06	
5	0.0124314	0.00239122	0.00189484	0.00202651	0.00221883	0.00250715	0.00190193	0.00217523	0.00257095	0.00317465	0.00416244	0.00589915	0.00371678	0.00372595	0.00304239	0.0011102	0.000345602	3.03277e-05	5.32531e-06	
5.2	0.0110321	0.00215528	0.00170877	0.00182847	0.0020031	0.0022646	0.00171852	0.00196587	0.00232367	0.00286895	0.00376007	0.00532537	0.00336392	0.00337216	0.00275318	0.00100502	0.000312842	2.74543e-05	4.8207e-06	
