Numero de iteracoes: 24
Erro: 9.44744e-07
Tempo de Resolucao do Problema: 933.564 segundos
/////////////////////////////////////////////
Posicao	Fluxo Escalar
	Grupo de Energia 1	Grupo de Energia 2	Grupo de Energia 3	Grupo de Energia 4	Grupo de Energia 5	Grupo de Energia 6	Grupo de Energia 7	Grupo de Energia 8	Grupo de Energia 9	Grupo de Energia 10	Grupo de Energia 11	Grupo de Energia 12	Grupo de Energia 13	Grupo de Energia 14	Grupo de Energia 15	Grupo de Energia 16	Grupo de Energia 17	Grupo de Energia 18	Grupo de Energia 19
0	0.507947	0.0159361	0.0118712	0.0119475	0.012231	0.0128525	0.0091786	0.0099924	0.0112716	0.0133532	0.0169295	0.0231658	0.00917077	0.00819085	0.00576006	0.0016388	0.000414807	2.84237e-05	4.18369e-06	
0.2	0.374901	0.0200226	0.0150411	0.0152644	0.0157768	0.0167631	0.0120979	0.0132984	0.0151677	0.0182059	0.02347	0.0329208	0.0140721	0.013165	0.0100488	0.0032557	0.000981552	8.30883e-05	1.45847e-05	
0.4	0.30213	0.0202709	0.0153287	0.0156591	0.0163058	0.0174701	0.0127011	0.0140491	0.0161264	0.0194817	0.0252808	0.035765	0.0164113	0.0156404	0.012242	0.00411614	0.00126763	0.000109365	1.92368e-05	
0.6	0.249793	0.0195471	0.0148621	0.0152646	0.0159918	0.0172489	0.012613	0.0140191	0.0161686	0.0196208	0.0255669	0.036345	0.0175872	0.0169615	0.0134626	0.00462138	0.00143286	0.000124376	2.1871e-05	
0.8	0.209564	0.0184245	0.0140736	0.0145211	0.0152911	0.0165858	0.012186	0.0135978	0.0157419	0.0191686	0.0250496	0.0357163	0.0180095	0.0175169	0.0140271	0.00488063	0.00151735	0.000132103	2.32235e-05	
1	0.177556	0.0171418	0.0131467	0.0136187	0.0144044	0.0156992	0.0115811	0.0129653	0.0150563	0.0183835	0.0240737	0.03439	0.0179207	0.0175417	0.0141313	0.0049638	0.00154511	0.000134765	2.36866e-05	
1.2	0.151533	0.0158171	0.0121739	0.0126551	0.0134371	0.0147064	0.0108863	0.0122217	0.0142296	0.0174122	0.0228367	0.0326611	0.0174836	0.0171981	0.0139125	0.00492136	0.00153281	0.000133859	2.35238e-05	
1.4	0.130055	0.014513	0.0112056	0.0116848	0.0124494	0.0136755	0.0101538	0.0114268	0.0133335	0.0163451	0.0214614	0.0307144	0.0168137	0.0166029	0.013471	0.00479085	0.0014926	0.000130467	2.29248e-05	
1.6	0.112129	0.0132632	0.0102698	0.0107388	0.0114765	0.012648	0.00941578	0.0106186	0.0124138	0.0152402	0.0200272	0.0286702	0.015994	0.015842	0.0128811	0.00460045	0.00143348	0.000125386	2.20298e-05	
1.8	0.0970384	0.0120853	0.00938178	0.00983488	0.0105394	0.0116491	0.00869243	0.00982093	0.0115	0.0141357	0.0185867	0.0266083	0.0150852	0.0149785	0.0121979	0.00437127	0.00136213	0.000119211	2.09431e-05	
2	0.0842457	0.0109875	0.00854942	0.00898268	0.00964996	0.0106939	0.00799629	0.00904909	0.0106111	0.0130565	0.0171744	0.0245818	0.0141317	0.0140595	0.0114621	0.00411907	0.00128354	0.000112382	1.9742e-05	
2.2	0.0733394	0.00997215	0.00777585	0.00818676	0.00881463	0.00979124	0.00733487	0.00831252	0.0097593	0.0120186	0.0158129	0.0226252	0.0131653	0.0131189	0.0107039	0.00385549	0.00120136	0.000105225	1.84836e-05	
2.4	0.063997	0.00903842	0.00706138	0.00744851	0.00803609	0.00894542	0.00671235	0.00761671	0.00895189	0.011032	0.0145165	0.0207606	0.012209	0.0121818	0.0099448	0.00358908	0.00111829	9.79781e-05	1.72098e-05	
2.6	0.0559616	0.0081833	0.0064046	0.00676731	0.00731467	0.00815805	0.00613062	0.00696447	0.00819288	0.0101024	0.0132934	0.0190008	0.0112791	0.0112657	0.00920046	0.00332597	0.00103624	9.08124e-05	1.59504e-05	
2.8	0.0490263	0.00740267	0.00580301	0.00614126	0.00664919	0.00742878	0.00559003	0.00635673	0.00748396	0.00923251	0.0121479	0.0173527	0.0103864	0.0103828	0.00848159	0.00307049	0.000956573	8.38484e-05	1.47266e-05	
3	0.0430222	0.00669181	0.00525351	0.00556771	0.00603749	0.00675607	0.00508991	0.00579319	0.00682524	0.00842302	0.0110812	0.0158183	0.00953811	0.00954133	0.00779538	0.00282557	0.000880203	7.71683e-05	1.35529e-05	
3.2	0.0378102	0.00604574	0.00475273	0.00504361	0.00547686	0.00613754	0.0046289	0.00527266	0.00621574	0.00767306	0.0100925	0.0143968	0.00873847	0.00874619	0.0071463	0.0025931	0.000807725	7.08252e-05	1.24385e-05	
3.4	0.033275	0.00545947	0.00429718	0.00456566	0.00496423	0.00557037	0.00420521	0.00479343	0.00565373	0.00698082	0.00917968	0.0130852	0.00798957	0.00800009	0.00653684	0.00237421	0.000739485	6.48504e-05	1.13889e-05	
3.6	0.0293203	0.00492813	0.00388337	0.00413055	0.00449642	0.00505146	0.00381678	0.00435339	0.00513702	0.00634382	0.00833962	0.011879	0.00729193	0.00730402	0.00596797	0.00216941	0.000675647	5.92591e-05	1.04067e-05	
3.8	0.0258652	0.00444707	0.00350794	0.003735	0.0040702	0.00457759	0.00346143	0.00395028	0.00466312	0.00575919	0.00756863	0.0107728	0.00664492	0.00665769	0.00543959	0.00197882	0.000616242	5.40545e-05	9.49248e-06	
4	0.0228412	0.0040119	0.00316767	0.00337583	0.00368241	0.00414554	0.00313693	0.0035817	0.0042294	0.00522381	0.00686266	0.00976066	0.0060471	0.00605994	0.00495084	0.00180221	0.000561204	4.92314e-05	8.64531e-06	
4.2	0.0201905	0.0036185	0.00285954	0.00305003	0.00333	0.00375217	0.00284104	0.00324526	0.00383315	0.00473448	0.00621753	0.00883658	0.00549649	0.00550896	0.0045003	0.00163918	0.000510401	4.47784e-05	7.86319e-06	
4.4	0.0178634	0.00326308	0.0025807	0.00275474	0.00301007	0.00339442	0.00257161	0.0029386	0.00347172	0.00428797	0.00562899	0.00799431	0.00499073	0.00500256	0.0040862	0.00148914	0.000463652	4.068e-05	7.14338e-06	
4.6	0.0158179	0.00294211	0.00232852	0.0024873	0.00271986	0.00306942	0.00232654	0.00265944	0.00314248	0.00388111	0.00509288	0.00722777	0.00452724	0.00453826	0.00370654	0.00135143	0.000420748	3.6918e-05	6.48269e-06	
4.8	0.0140175	0.00265236	0.00210056	0.00224523	0.00245682	0.00277441	0.00210387	0.00240559	0.00284292	0.00351086	0.00460517	0.00653105	0.00410335	0.00411346	0.00335921	0.00122532	0.000381463	3.34729e-05	5.87766e-06	
5	0.0124312	0.00239089	0.00189459	0.00202625	0.00221856	0.00250685	0.00190171	0.00217498	0.00257065	0.00317429	0.00416199	0.00589851	0.00371634	0.00372551	0.00304203	0.00111006	0.000345561	3.03241e-05	5.32468e-06	
5.2	0.011032	0.00215499	0.00170856	0.00182824	0.00200286	0.00226433	0.00171832	0.00196565	0.00232341	0.00286864	0.00375966	0.00532481	0.00336353	0.00337177	0.00275286	0.0010049	0.000312806	2.74511e-05	4.82014e-06	
5.4	0.00979657	0.00194221	0.00154057	0.00164926	0.00180768	0.00204465	0.00155207	0.00177578	0.00209908	0.00259128	0.00339475	0.00480491	0.00304234	0.00304967	0.00248959	0.000909088	0.000282967	2.48335e-05	4.36047e-06	
5.6	0.0087048	0.00175032	0.00138893	0.00148754	0.00163114	0.00184575	0.00140145	0.00160367	0.00189567	0.0023398	0.00306401	0.0043341	0.00275025	0.00275672	0.00225017	0.000821904	0.000255817	2.24516e-05	3.9422e-06	
5.8	0.00773915	0.00157728	0.00125206	0.00134145	0.00147152	0.00166575	0.00126505	0.00144774	0.00171135	0.00211191	0.00276445	0.00390802	0.00248488	0.00249056	0.00203268	0.000742658	0.000231141	2.02866e-05	3.56202e-06	
6	0.00688434	0.00142126	0.00112855	0.00120951	0.00132724	0.0015029	0.00114158	0.00130655	0.0015444	0.00190553	0.00249326	0.00352262	0.002244	0.00224893	0.00183526	0.000670691	0.000208733	1.83205e-05	3.21677e-06	
6.2	0.00612709	0.0012806	0.00101711	0.00109037	0.00119686	0.00135563	0.00102986	0.00117875	0.00139326	0.00171869	0.00224787	0.00317416	0.00202548	0.00202974	0.0016562	0.000605385	0.0001884	1.65363e-05	2.90348e-06	
6.4	0.00545577	0.00115377	0.000916565	0.000982805	0.00107905	0.00122247	0.00092879	0.0010631	0.00125647	0.00154961	0.0020259	0.0028592	0.00182737	0.001831	0.00149387	0.000546157	0.000169961	1.49182e-05	2.61936e-06	
6.6	0.00486023	0.00103943	0.000825849	0.000885693	0.000972615	0.00110208	0.000837382	0.000958471	0.0011327	0.00139664	0.00182517	0.00257457	0.00164783	0.0016509	0.00134678	0.000492465	0.000153246	1.34514e-05	2.36179e-06	
6.8	0.00433158	0.000936325	0.000744002	0.000798019	0.000876465	0.000993258	0.000754718	0.000863828	0.00102073	0.00125827	0.00164367	0.00231739	0.00148515	0.00148771	0.00121352	0.000443804	0.000138099	1.2122e-05	2.12837e-06	
7	0.00386201	0.000843352	0.00067015	0.000718862	0.000789601	0.000894885	0.000679963	0.000778219	0.000919439	0.0011331	0.00147955	0.00208499	0.00133778	0.00133986	0.00109279	0.000399705	0.000124372	1.09173e-05	1.91683e-06	
7.2	0.00344468	0.000759497	0.000603502	0.000647385	0.000711117	0.000805949	0.000612354	0.000700773	0.000827793	0.00101987	0.00133112	0.00187494	0.00120424	0.00120589	0.000983406	0.000359734	0.000111931	9.82528e-06	1.72509e-06	
