Numero de iteracoes: 24
Erro: 9.44724e-07
Tempo de Resolucao do Problema: 608.373 segundos
/////////////////////////////////////////////
Posicao	Fluxo Escalar
	Grupo de Energia 1	Grupo de Energia 2	Grupo de Energia 3	Grupo de Energia 4	Grupo de Energia 5	Grupo de Energia 6	Grupo de Energia 7	Grupo de Energia 8	Grupo de Energia 9	Grupo de Energia 10	Grupo de Energia 11	Grupo de Energia 12	Grupo de Energia 13	Grupo de Energia 14	Grupo de Energia 15	Grupo de Energia 16	Grupo de Energia 17	Grupo de Energia 18	Grupo de Energia 19
0	0.507947	0.0159391	0.0118752	0.011953	0.0122378	0.0128606	0.00918487	0.00999963	0.0112803	0.013364	0.0169441	0.0231866	0.00916991	0.00818977	0.00575832	0.00163793	0.000414465	2.83954e-05	4.17812e-06	
0.0285714	0.481211	0.0171064	0.0127707	0.0128793	0.0132153	0.013924	0.00997016	0.010882	0.0123141	0.0146485	0.018679	0.0257862	0.0102497	0.00929065	0.00672419	0.00200651	0.000550712	4.20232e-05	6.95617e-06	
0.0571429	0.45805	0.0179932	0.0134517	0.0135847	0.0139608	0.014736	0.0105701	0.0115557	0.0131018	0.0156227	0.0199836	0.0277152	0.0111241	0.0101672	0.00746818	0.00228026	0.000646662	5.13647e-05	8.76413e-06	
0.0857143	0.437717	0.0186672	0.0139711	0.0141249	0.0145343	0.0153638	0.0110356	0.0120799	0.0137157	0.016382	0.0209984	0.029211	0.0118646	0.0109094	0.00809815	0.00251443	0.000728336	5.92321e-05	1.02458e-05	
0.114286	0.41964	0.0191781	0.0143677	0.0145402	0.0149789	0.0158546	0.0114022	0.0124949	0.0142041	0.0169884	0.0218111	0.0304139	0.0125112	0.011562	0.00865652	0.00272438	0.000800873	6.61429e-05	1.15238e-05	
0.142857	0.403381	0.0195633	0.01467	0.0148602	0.0153253	0.0162419	0.0116944	0.0128283	0.0145994	0.0174825	0.0224773	0.0314078	0.0130871	0.0121481	0.00916206	0.002916	0.000866465	7.23375e-05	1.2654e-05	
0.171429	0.388604	0.0198503	0.0148989	0.0151062	0.015596	0.0165494	0.0119293	0.0130992	0.0149236	0.0178914	0.023033	0.0322449	0.0136063	0.012681	0.0096245	0.00309238	0.000926386	7.79554e-05	1.36688e-05	
0.2	0.375048	0.0200599	0.01507	0.015294	0.015807	0.0167941	0.0121194	0.0133211	0.0151922	0.0182334	0.0235021	0.0329585	0.0140779	0.0131685	0.0100498	0.00325553	0.000981471	8.30878e-05	1.4589e-05	
0.228571	0.362512	0.0202076	0.015195	0.0154352	0.0159702	0.0169886	0.0122734	0.0135034	0.0154157	0.0185212	0.0239006	0.0335709	0.014508	0.0136162	0.0104421	0.00340689	0.00103231	8.77995e-05	1.5429e-05	
0.257143	0.350835	0.0203054	0.0152825	0.0155387	0.0160947	0.0171419	0.0123978	0.0136531	0.0156019	0.018764	0.0242402	0.0340977	0.0149012	0.0140281	0.0108045	0.00354757	0.00107935	9.21393e-05	1.61995e-05	
