Numero de iteracoes: 15
Erro: 5.44678e-07
Tempo de Resolucao do Problema: 394.056 segundos
/////////////////////////////////////////////
Posicao	Fluxo Escalar
	Grupo de Energia 1	Grupo de Energia 2	Grupo de Energia 3	Grupo de Energia 4	Grupo de Energia 5	Grupo de Energia 6	Grupo de Energia 7	Grupo de Energia 8	Grupo de Energia 9	Grupo de Energia 10	Grupo de Energia 11	Grupo de Energia 12	Grupo de Energia 13	Grupo de Energia 14	Grupo de Energia 15	Grupo de Energia 16	Grupo de Energia 17	Grupo de Energia 18	Grupo de Energia 19	Grupo de Energia 20
0	0.000605978	0.000415353	0.000262319	0.000168011	0.000316109	5.67331e-05	3.55789e-05	2.2852e-05	1.52575e-05	2.20546e-05	5.92593e-06	4.02146e-06	2.81189e-06	2.04432e-06	1.57082e-06	1.32467e-06	2.92647e-06	0	0	0	
0.2	0.000627975	0.000440167	0.000283952	0.000185568	0.000346027	6.54356e-05	4.18979e-05	2.7468e-05	1.87047e-05	2.68362e-05	7.59203e-06	5.26108e-06	3.75545e-06	2.7856e-06	2.18078e-06	1.86774e-06	4.60471e-06	0	0	0	
0.4	0.0006505	0.00046574	0.00030641	0.000203827	0.000377438	7.49852e-05	4.89399e-05	3.26838e-05	2.26377e-05	3.23618e-05	9.5952e-06	6.77818e-06	4.93134e-06	3.72785e-06	2.97572e-06	2.60447e-06	5.93786e-06	0	0	0	
0.6	0.000673704	0.000492513	0.000330357	0.000223634	0.000411378	8.58819e-05	5.71404e-05	3.88778e-05	2.73942e-05	3.90226e-05	1.21266e-05	8.73119e-06	6.47094e-06	4.97849e-06	4.03753e-06	3.57727e-06	9.70856e-06	0	0	0	
0.8	0.000697707	0.000520744	0.000356094	0.00024528	0.000448298	9.83262e-05	6.66781e-05	4.62092e-05	3.31151e-05	4.70272e-05	1.53089e-05	1.12352e-05	8.48684e-06	6.65626e-06	5.50894e-06	4.99905e-06	1.17806e-05	0	0	0	
1	0.000722607	0.00055062	0.000383841	0.000269001	0.000488558	0.000112566	7.77976e-05	5.49126e-05	4.00217e-05	5.66706e-05	1.93139e-05	1.444e-05	1.11041e-05	8.85487e-06	7.43413e-06	6.81026e-06	2.07714e-05	0	0	0	
1.2	0.000748489	0.0005823	0.000413802	0.000295041	0.000532526	0.000128882	9.07777e-05	6.52578e-05	4.83711e-05	6.83052e-05	2.43732e-05	1.85734e-05	1.45588e-05	1.18413e-05	1.01589e-05	9.56024e-06	2.28676e-05	0	0	0	
1.4	0.000775429	0.000615928	0.000446187	0.000323657	0.00058059	0.00014758	0.000105927	7.75473e-05	5.84533e-05	8.2328e-05	3.07267e-05	2.38412e-05	1.90094e-05	1.57001e-05	1.36341e-05	1.29035e-05	4.5414e-05	0	0	0	
1.6	0.000803494	0.000651636	0.000481206	0.000355122	0.000633159	0.000169019	0.000123613	9.21488e-05	7.0632e-05	9.92439e-05	3.87507e-05	3.06438e-05	2.49117e-05	2.10026e-05	1.86742e-05	1.82289e-05	4.26859e-05	0	0	0	
1.8	0.000832741	0.000689518	0.00051902	0.000389673	0.000690591	0.000193594	0.000144264	0.000109501	8.53386e-05	0.000119635	4.87919e-05	3.92529e-05	3.24173e-05	2.76971e-05	2.48476e-05	2.42646e-05	0.000102193	0	0	0	
