Numero de iteracoes: 7
Erro: 2.08217e-07
Tempo de Resolucao do Problema: 115.267 segundos
/////////////////////////////////////////////
Posicao	Fluxo Escalar
	Grupo de Energia 1	Grupo de Energia 2	Grupo de Energia 3	Grupo de Energia 4	Grupo de Energia 5	Grupo de Energia 6	Grupo de Energia 7	Grupo de Energia 8	Grupo de Energia 9	Grupo de Energia 10	Grupo de Energia 11	Grupo de Energia 12	Grupo de Energia 13	Grupo de Energia 14	Grupo de Energia 15	Grupo de Energia 16	Grupo de Energia 17	Grupo de Energia 18	Grupo de Energia 19	Grupo de Energia 20
0	0.0742538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.2	0.0769549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.4	0.0797447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.6	0.0826386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.8	0.0856497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	0.0887898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.2	0.0920701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.4	0.0955016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.6	0.0990952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.8	0.102862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	0.106812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.2	0.112168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.4	0.117913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.6	0.124088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.8	0.130739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	0.137928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3.2	0.14573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3.4	0.154245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3.6	0.163607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3.8	0.174004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	0.18571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.2	0.199138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.4	0.21493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.6	0.234106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.8	0.258324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	0.290304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5.2	0.328878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5.4	0.355609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5.6	0.375113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5.8	0.389855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	0.401179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6.2	0.409837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6.4	0.41626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6.6	0.420703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6.8	0.423312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	0.424162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7.2	0.423278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7.4	0.420635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7.6	0.416157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7.8	0.409694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	0.400992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8.2	0.389616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8.4	0.374808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8.6	0.355215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8.8	0.328354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	0.289574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9.2	0.24265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9.4	0.211447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9.6	0.188419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9.8	0.170094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10	0.15479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10.2	0.141631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10.4	0.130112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10.6	0.119912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10.8	0.110807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11	0.10263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11.2	0.09525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
