Numero de iteracoes: 15
Erro: 4.49803e-07
Tempo de Resolucao do Problema: 301.894 segundos
/////////////////////////////////////////////
Posicao	Fluxo Escalar
	Grupo de Energia 1	Grupo de Energia 2	Grupo de Energia 3	Grupo de Energia 4	Grupo de Energia 5	Grupo de Energia 6	Grupo de Energia 7	Grupo de Energia 8	Grupo de Energia 9	Grupo de Energia 10	Grupo de Energia 11	Grupo de Energia 12	Grupo de Energia 13	Grupo de Energia 14	Grupo de Energia 15	Grupo de Energia 16	Grupo de Energia 17	Grupo de Energia 18	Grupo de Energia 19	Grupo de Energia 20
0	0.000575263	0.000389623	0.000242891	0.000153458	0.000287813	4.99687e-05	3.06769e-05	1.92363e-05	1.25097e-05	1.79133e-05	4.50072e-06	2.90873e-06	1.915e-06	1.28973e-06	8.94162e-07	6.4468e-07	4.92598e-07	4.17058e-07	3.99089e-07	0	
0.2	0.000596133	0.000412883	0.000262905	0.000169478	0.000315024	5.76237e-05	3.61178e-05	2.31162e-05	1.53313e-05	2.17897e-05	5.76378e-06	3.80363e-06	2.55618e-06	1.75587e-06	1.23916e-06	9.05255e-07	6.93141e-07	5.71676e-07	2.13541e-06	0	
0.4	0.00061751	0.000436864	0.000283694	0.000186147	0.000343603	6.60344e-05	4.21913e-05	2.75098e-05	1.8559e-05	2.62784e-05	7.29169e-06	4.90881e-06	3.36629e-06	2.36116e-06	1.70439e-06	1.27892e-06	1.01651e-06	8.946e-07	6.05939e-07	0	
0.6	0.000639534	0.000461975	0.000305866	0.000204234	0.000374487	7.56341e-05	4.92662e-05	3.27289e-05	2.2463e-05	3.16898e-05	9.22146e-06	6.32901e-06	4.42218e-06	3.15641e-06	2.31245e-06	1.75113e-06	1.38685e-06	1.17956e-06	5.26967e-06	0	
0.8	0.000662319	0.000488458	0.000329701	0.000224002	0.000408086	8.66024e-05	5.75005e-05	3.8913e-05	2.71659e-05	3.82007e-05	1.16584e-05	8.16352e-06	5.82204e-06	4.24594e-06	3.18589e-06	2.4846e-06	2.05293e-06	1.88026e-06	5.08675e-07	0	
1	0.000685959	0.000516489	0.000355399	0.000245669	0.000444728	9.91569e-05	6.71035e-05	4.62565e-05	3.28439e-05	4.60448e-05	1.47218e-05	1.05042e-05	7.62692e-06	5.65305e-06	4.29599e-06	3.36909e-06	2.75719e-06	2.41651e-06	1.32042e-05	0	
1.2	0.000710534	0.000546216	0.000383155	0.00026946	0.000484751	0.000113551	7.83241e-05	5.4998e-05	3.97231e-05	5.55251e-05	1.86157e-05	1.35537e-05	1.00489e-05	7.61712e-06	5.93936e-06	4.81342e-06	4.1347e-06	3.94173e-06	-1.25209e-06	0	
1.4	0.000736117	0.000577775	0.00041316	0.000295608	0.000528508	0.000130051	9.14239e-05	6.53843e-05	4.80283e-05	6.69493e-05	2.34938e-05	1.74195e-05	1.31357e-05	1.01029e-05	7.95686e-06	6.45592e-06	5.45418e-06	4.92272e-06	3.36139e-05	0	
1.6	0.000762773	0.000611295	0.000445616	0.000324371	0.00057638	0.000148988	0.000106741	7.77534e-05	5.80952e-05	8.07695e-05	2.97101e-05	2.24826e-05	1.73215e-05	1.36411e-05	1.10492e-05	9.30268e-06	8.30512e-06	8.2371e-06	-9.56366e-06	0	
1.8	0.000790556	0.000646864	0.000480673	0.000355965	0.000628692	0.000170704	0.000124629	9.24508e-05	7.02424e-05	9.74188e-05	3.74566e-05	2.88378e-05	2.25639e-05	1.79883e-05	1.46641e-05	1.22933e-05	1.07089e-05	9.94782e-06	8.68726e-05	0	
2	0.000819515	0.0006845	0.000518305	0.00039031	0.000685465	0.000195338	0.000145277	0.00010971	8.47439e-05	0.000117336	4.72294e-05	3.71097e-05	2.96781e-05	2.42542e-05	2.03829e-05	1.78035e-05	1.64917e-05	1.69785e-05	-4.07903e-05	0	
2.2	0.000859135	0.000737419	0.000572582	0.000441178	0.000768118	0.000233262	0.00017777	0.000137459	0.000108542	0.000149624	6.37514e-05	5.12033e-05	4.1764e-05	3.46776e-05	2.94171e-05	2.56482e-05	2.32512e-05	2.25692e-05	0.000220639	0	
2.4	0.000901578	0.000795726	0.000633975	0.00050022	0.000862892	0.000279595	0.000218505	0.000173168	0.000139996	0.000191901	8.70555e-05	7.1862e-05	6.03429e-05	5.1736e-05	4.55552e-05	4.16087e-05	4.0176e-05	4.28829e-05	-6.29191e-05	0	
2.6	0.000947073	0.000859833	0.000703073	0.000568177	0.000970973	0.000335604	0.000268858	0.000218249	0.000180464	0.000246093	0.000118137	9.96534e-05	8.53226e-05	7.43331e-05	6.61521e-05	6.05482e-05	5.77723e-05	5.94555e-05	0.000553983	0	
2.8	0.000995936	0.000930436	0.000781034	0.000646686	0.0010946	0.000403838	0.000331791	0.00027608	0.000233777	0.000316955	0.000161942	0.000140375	0.000123686	0.000111163	0.000102468	9.7789e-05	9.83887e-05	0.000108984	-5.17873e-05	0	
