Numero de iteracoes: 12
Erro: 5.66956e-07
Tempo de Resolucao do Problema: 198.285 segundos
/////////////////////////////////////////////
Posicao	Fluxo Escalar
	Grupo de Energia 1	Grupo de Energia 2	Grupo de Energia 3	Grupo de Energia 4	Grupo de Energia 5	Grupo de Energia 6	Grupo de Energia 7	Grupo de Energia 8	Grupo de Energia 9	Grupo de Energia 10	Grupo de Energia 11	Grupo de Energia 12	Grupo de Energia 13	Grupo de Energia 14	Grupo de Energia 15	Grupo de Energia 16	Grupo de Energia 17	Grupo de Energia 18	Grupo de Energia 19	Grupo de Energia 20
0	0.000892842	0.000678277	0.000482345	0.000352753	0.000675949	0.000177027	0.000143157	0.000125725	0.000125275	0.000664916	0	0	0	0	0	0	0	0	0	0	
0.2	0.00092543	0.000719081	0.000522402	0.000389869	0.000740459	0.000204035	0.000168161	0.000150308	0.000152142	0.000806843	0	0	0	0	0	0	0	0	0	0	
0.4	0.000958692	0.000760837	0.000563499	0.000427845	0.000807326	0.000232526	0.000194569	0.00017623	0.000180379	0.000972686	0	0	0	0	0	0	0	0	0	0	
0.6	0.000992855	0.000804337	0.00060703	0.000468712	0.000879094	0.000264546	0.000224739	0.000206303	0.000213619	0.00117297	0	0	0	0	0	0	0	0	0	0	
0.8	0.0010281	0.000850023	0.000653562	0.000513058	0.000956715	0.000300537	0.000259064	0.000240876	0.000252176	0.0014143	0	0	0	0	0	0	0	0	0	0	
1	0.00106455	0.000898187	0.000703456	0.000561304	0.00104086	0.000341079	0.000298254	0.000280842	0.00029727	0.001706	0	0	0	0	0	0	0	0	0	0	
1.2	0.00110233	0.000949049	0.000757021	0.000613852	0.00113218	0.000386764	0.000342994	0.000327005	0.000349902	0.0020589	0	0	0	0	0	0	0	0	0	0	
1.4	0.00114153	0.00100279	0.000814548	0.000671096	0.00123129	0.000438208	0.000394029	0.000380296	0.000411349	0.00248642	0	0	0	0	0	0	0	0	0	0	
1.6	0.00118221	0.00105954	0.000876288	0.000733412	0.00133881	0.000496022	0.00045205	0.000441492	0.000482527	0.00300426	0	0	0	0	0	0	0	0	0	0	
1.8	0.00122441	0.00111934	0.000942338	0.000801034	0.00145509	0.000560944	0.000518083	0.000512006	0.000565494	0.00363334	0	0	0	0	0	0	0	0	0	0	
2	0.00126815	0.001182	0.0010122	0.000873054	0.00157924	0.000631779	0.000590541	0.00058969	0.000657151	0.00439059	0	0	0	0	0	0	0	0	0	0	
2.2	0.00132826	0.00127057	0.00111362	0.000980512	0.00176105	0.000741978	0.000705985	0.000716412	0.000810155	0.00561786	0	0	0	0	0	0	0	0	0	0	
2.4	0.00139242	0.00136773	0.0012277	0.00110432	0.0019682	0.000874643	0.000847849	0.000875177	0.00100534	0.00721578	0	0	0	0	0	0	0	0	0	0	
2.6	0.00146085	0.00147377	0.00135482	0.00124494	0.00220177	0.00103133	0.00101828	0.00106901	0.00124733	0.00929256	0	0	0	0	0	0	0	0	0	0	
2.8	0.00153384	0.0015894	0.0014963	0.00140455	0.00246492	0.00121654	0.00122342	0.00130641	0.00154875	0.0120023	0	0	0	0	0	0	0	0	0	0	
3	0.00161178	0.00171548	0.00165379	0.00158567	0.00276141	0.00143517	0.0014698	0.00159629	0.00192275	0.0155591	0	0	0	0	0	0	0	0	0	0	
3.2	0.00169509	0.00185302	0.00182914	0.0017912	0.0030955	0.00169313	0.00176565	0.00195045	0.00238775	0.0202373	0	0	0	0	0	0	0	0	0	0	
3.4	0.00178429	0.00200315	0.00202442	0.00202439	0.00347195	0.00199717	0.00212034	0.00238202	0.00296337	0.0264754	0	0	0	0	0	0	0	0	0	0	
3.6	0.00188001	0.00216707	0.00224194	0.002289	0.00389622	0.00235556	0.00254592	0.00290933	0.00368036	0.0347429	0	0	0	0	0	0	0	0	0	0	
3.8	0.00198296	0.00234607	0.0024841	0.00258895	0.00437397	0.00277669	0.00305401	0.00354839	0.00456178	0.0461282	0	0	0	0	0	0	0	0	0	0	
4	0.00209396	0.00254166	0.00275371	0.00292913	0.00491208	0.00327312	0.0036646	0.00433237	0.005668	0.0611562	0	0	0	0	0	0	0	0	0	0	
4.2	0.00221378	0.00275521	0.00305276	0.00331278	0.00551535	0.00385082	0.00438415	0.00526693	0.00700115	0.0836105	0	0	0	0	0	0	0	0	0	0	
4.4	0.00234311	0.00298932	0.00338546	0.00374763	0.00619401	0.00453633	0.00525875	0.00643218	0.00871	0.111639	0	0	0	0	0	0	0	0	0	0	
4.6	0.0024809	0.0032443	0.00375039	0.00422728	0.00694232	0.00530355	0.00624494	0.00775697	0.0106711	0.164292	0	0	0	0	0	0	0	0	0	0	
4.8	0.002624	0.00352336	0.00416258	0.00478308	0.00780055	0.00623801	0.00747587	0.00945355	0.0132537	0.219016	0	0	0	0	0	0	0	0	0	0	
5	0.00275113	0.00377912	0.00454447	0.00530018	0.00860276	0.00711678	0.00863929	0.0110694	0.0157423	0.410667	0	0	0	0	0	0	0	0	0	0	
5.2	0.00292467	0.00412741	0.00506611	0.00600904	0.00969439	0.00832191	0.0102342	0.0132805	0.0191359	0.631565	0	0	0	0	0	0	0	0	0	0	
5.4	0.00309553	0.00445608	0.00554891	0.00665664	0.0106944	0.00939231	0.01163	0.0151825	0.0219946	0.680808	0	0	0	0	0	0	0	0	0	0	
5.6	0.00324139	0.00472537	0.00593634	0.00716639	0.0114884	0.0101981	0.0126553	0.0165433	0.0239821	0.73582	0	0	0	0	0	0	0	0	0	0	
5.8	0.00336322	0.00495007	0.00626045	0.00759166	0.0121512	0.0108604	0.0134903	0.0176405	0.0255671	0.75762	0	0	0	0	0	0	0	0	0	0	
6	0.00346218	0.00513269	0.00652093	0.00792739	0.0126788	0.0113606	0.0141059	0.0184285	0.026673	0.777865	0	0	0	0	0	0	0	0	0	0	
