Numero de iteracoes: 15
Erro: 2.04291e-07
Tempo de Resolucao do Problema: 355.893 segundos
/////////////////////////////////////////////
Posicao	Fluxo Escalar
	Grupo de Energia 1	Grupo de Energia 2	Grupo de Energia 3	Grupo de Energia 4	Grupo de Energia 5	Grupo de Energia 6	Grupo de Energia 7	Grupo de Energia 8	Grupo de Energia 9	Grupo de Energia 10	Grupo de Energia 11	Grupo de Energia 12	Grupo de Energia 13	Grupo de Energia 14	Grupo de Energia 15	Grupo de Energia 16	Grupo de Energia 17	Grupo de Energia 18	Grupo de Energia 19	Grupo de Energia 20
0	0.00062926	0.000434405	0.000276517	0.000178591	0.000336689	6.16885e-05	3.92143e-05	2.5581e-05	1.73788e-05	2.52958e-05	7.10781e-06	4.99253e-06	3.64984e-06	2.82271e-06	2.39763e-06	5.63171e-06	0	0	0	0	
0.2	0.000652108	0.000460367	0.000299332	0.000197266	0.000368576	7.1158e-05	4.6184e-05	3.07518e-05	2.13079e-05	3.07848e-05	9.10603e-06	6.5302e-06	4.87224e-06	3.84286e-06	3.3241e-06	8.14369e-06	0	0	0	0	
0.4	0.000675504	0.000487119	0.000323009	0.000216679	0.000402045	8.15398e-05	5.39416e-05	3.65851e-05	2.5782e-05	3.71181e-05	1.1499e-05	8.40206e-06	6.38484e-06	5.12753e-06	4.51726e-06	1.11365e-05	0	0	0	0	
0.6	0.000699602	0.00051512	0.000348252	0.000237735	0.000438205	9.33828e-05	6.29724e-05	4.35096e-05	3.11906e-05	4.47501e-05	1.4521e-05	1.08104e-05	8.36508e-06	6.83478e-06	6.11791e-06	1.62068e-05	0	0	0	0	
0.8	0.000724527	0.000544644	0.000375378	0.000260742	0.000477535	0.000106903	7.34705e-05	5.16997e-05	3.76893e-05	5.39148e-05	1.8311e-05	1.38871e-05	1.0944e-05	9.10653e-06	8.30892e-06	2.1734e-05	0	0	0	0	
1	0.000750381	0.000575886	0.000404617	0.000285952	0.00052042	0.00012237	8.57048e-05	6.14177e-05	4.55306e-05	6.49509e-05	2.30775e-05	1.78234e-05	1.42942e-05	1.20917e-05	1.1196e-05	3.25056e-05	0	0	0	0	
1.2	0.000777253	0.000609009	0.000436187	0.000313622	0.00056725	0.000140084	9.9977e-05	7.29582e-05	5.4998e-05	7.82523e-05	2.90806e-05	2.28773e-05	1.86859e-05	1.6104e-05	1.5218e-05	4.20889e-05	0	0	0	0	
1.4	0.00080522	0.000644165	0.000470305	0.000344023	0.000618434	0.000160377	0.000116627	8.66604e-05	6.64243e-05	9.42771e-05	3.66175e-05	2.93212e-05	2.43555e-05	2.13159e-05	2.04038e-05	6.60936e-05	0	0	0	0	
1.6	0.000834352	0.00068149	0.00050719	0.000377441	0.000674406	0.000183628	0.000136046	0.000102918	8.01999e-05	0.000113578	4.60942e-05	3.75891e-05	3.18027e-05	2.83768e-05	2.77737e-05	8.03094e-05	0	0	0	0	
1.8	0.000864707	0.00072108	0.000547008	0.000414128	0.00073554	0.000210269	0.000158709	0.000122228	9.68287e-05	0.000136836	5.79593e-05	4.80713e-05	4.13131e-05	3.73675e-05	3.69371e-05	0.000137228	0	0	0	0	
2	0.000896333	0.000762937	0.000589701	0.000453943	0.000801806	0.000240385	0.000184738	0.000144747	0.000116492	0.000164441	7.26234e-05	6.13135e-05	5.3669e-05	4.95296e-05	5.01795e-05	0.000148291	0	0	0	0	
2.2	0.000939627	0.000821829	0.000651326	0.000512965	0.000898345	0.000286814	0.000225778	0.000181049	0.000148887	0.000209336	9.76602e-05	8.42347e-05	7.51974e-05	7.05834e-05	7.23921e-05	0.000313033	0	0	0	0	
2.4	0.000985997	0.0008867	0.000721001	0.000581427	0.00100899	0.000343434	0.000277084	0.000227568	0.000191434	0.000267809	0.00013246	0.000117112	0.000107257	0.000103496	0.000109626	0.000356691	0	0	0	0	
2.6	0.00103569	0.000957991	0.000799373	0.000660165	0.00113509	0.000411796	0.00034042	0.000286225	0.000246142	0.000342716	0.000178996	0.000161626	0.000150905	0.000148051	0.000158765	0.000779745	0	0	0	0	
