Numero de iteracoes: 11
Erro: 5.18934e-07
Tempo de Resolucao do Problema: 212.444 segundos
/////////////////////////////////////////////
Posicao	Fluxo Escalar
	Grupo de Energia 1	Grupo de Energia 2	Grupo de Energia 3	Grupo de Energia 4	Grupo de Energia 5	Grupo de Energia 6	Grupo de Energia 7	Grupo de Energia 8	Grupo de Energia 9	Grupo de Energia 10	Grupo de Energia 11	Grupo de Energia 12	Grupo de Energia 13	Grupo de Energia 14	Grupo de Energia 15	Grupo de Energia 16	Grupo de Energia 17	Grupo de Energia 18	Grupo de Energia 19	Grupo de Energia 20
0	0.00145971	0.00124682	0.0010247	0.000898389	0.00201766	0.00321781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.2	0.00151267	0.00132115	0.00110849	0.000990681	0.00220682	0.0037081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.4	0.00156636	0.00139621	0.0011927	0.00108267	0.00239974	0.00425856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.6	0.00162118	0.00147367	0.00128085	0.00118042	0.00260496	0.00489114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.8	0.00167742	0.00155442	0.00137422	0.00128534	0.00282527	0.00561883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	0.00173528	0.00163897	0.00147346	0.0013983	0.00306235	0.00645751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.2	0.00179494	0.00172764	0.00157908	0.00152004	0.0033177	0.00742541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.4	0.00185648	0.00182067	0.00169147	0.00165122	0.0035927	0.00854372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.6	0.00191996	0.00191813	0.00181091	0.00179236	0.0038885	0.00983695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.8	0.00198539	0.00201988	0.00193722	0.0019435	0.00420538	0.0113346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	0.00205267	0.00212521	0.00206864	0.00210123	0.00453905	0.0130602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.2	0.00214572	0.00227535	0.0022614	0.00233939	0.00503129	0.0156978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.4	0.00224461	0.0024393	0.00247713	0.00261213	0.00558893	0.0189238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.6	0.00234949	0.00261697	0.00271531	0.00291847	0.00621225	0.0228662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.8	0.00246063	0.00280905	0.0029777	0.00326212	0.00690802	0.0277039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	0.00257841	0.00301657	0.00326656	0.00364732	0.00768426	0.0336656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3.2	0.00270328	0.00324068	0.00358445	0.00407881	0.00854997	0.0410508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3.4	0.00283577	0.00348265	0.00393412	0.00456189	0.00951509	0.0502573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3.6	0.0029765	0.00374378	0.00431853	0.00510237	0.0105905	0.0618204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3.8	0.00312619	0.00402544	0.00474071	0.00570643	0.0117878	0.0764903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	0.00328561	0.00432903	0.0052037	0.00638066	0.0131191	0.0952967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.2	0.00345542	0.00465599	0.00571001	0.00713056	0.0145949	0.11998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.4	0.00363581	0.00500831	0.0062629	0.00796415	0.0162292	0.1524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.6	0.00382473	0.00538543	0.00685889	0.00886761	0.0180056	0.200201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.8	0.0040169	0.00578963	0.00751936	0.00989816	0.0200185	0.257738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	0.00418259	0.00614617	0.00810468	0.0108121	0.0218289	0.412041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5.2	0.00441546	0.00664701	0.00893093	0.012108	0.0243626	0.591606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5.4	0.00464833	0.00713053	0.00971692	0.0133273	0.0267376	0.647554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5.6	0.00484991	0.00753251	0.0103561	0.0142978	0.0286401	0.697953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5.8	0.0050202	0.00787191	0.0108978	0.0151196	0.0302478	0.727028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	0.00515986	0.00815079	0.0113388	0.0157777	0.0315426	0.748961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6.2	0.00527114	0.00837409	0.0116897	0.0162977	0.0325672	0.763824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6.4	0.00535553	0.00854409	0.0119553	0.0166883	0.0333387	0.774252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6.6	0.00541416	0.00866287	0.0121404	0.0169596	0.0338754	0.781018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6.8	0.00544774	0.00873174	0.0122482	0.0171178	0.0341885	0.78486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	0.00545663	0.00875149	0.0122805	0.0171665	0.0342849	0.786096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
